,T,V,V_c,I,P,V_gen,Mediciones p/s,Fecha,Periodo
0,0.2795045,339.22546051807007,-3.1e-05,-2.094594594594595e-09,0.0666,1.58,0.3,Fri Oct 18 13:45:28 2024,50.0
1,0.250563,304.1001547387062,-7.3e-05,-4.932432432432432e-09,0.0668,,,,
2,0.21966262,266.59735765541745,-5.2e-05,-3.5135135135135133e-09,0.0666,,,,
3,0.18729473,227.31350289498013,-4.2e-05,-2.8378378378378377e-09,0.0666,,,,
4,0.15526451,188.4395081205891,-7.3e-05,-4.932432432432432e-09,0.0666,,,,
5,0.12306807,149.36372559276836,-5.2e-05,-3.5135135135135133e-09,0.0666,,,,
6,0.0914393,110.97697849515721,-0.000104,-7.0270270270270265e-09,0.0666,,,,
7,0.06025606,73.13084252223346,-4.2e-05,-2.8378378378378377e-09,0.0666,,,,
8,0.02792282,33.889051328492954,-4.2e-05,-2.8378378378378377e-09,0.0666,,,,
9,0.02253981,27.355878931250455,-5.2e-05,-3.5135135135135133e-09,0.0666,,,,
10,0.0244987,29.733298371846764,-3.1e-05,-2.094594594594595e-09,0.0666,,,,
11,0.06149385,74.63309658202023,-3.1e-05,-2.094594594594595e-09,0.0666,,,,
12,0.09365889,113.67075996137693,-4.2e-05,-2.8378378378378377e-09,0.0676,,,,
13,0.12566511,152.51562572420312,-1e-05,-6.756756756756757e-10,0.0676,,,,
14,0.15758111,191.25103743688834,-2.1e-05,-1.4189189189189188e-09,0.0676,,,,
15,0.18925196,229.68887664810984,1e-05,6.756756756756757e-10,0.0678,,,,
16,0.22089689,268.0953406068414,-4.2e-05,-2.8378378378378377e-09,0.0676,,,,
17,0.25310243,307.18212550571377,-2.1e-05,-1.4189189189189188e-09,0.0676,,,,
18,0.28497163,345.86073659584747,-3.1e-05,-2.094594594594595e-09,0.0676,,,,
19,0.31649782,384.12300671736176,0.0,0.0,0.0676,,,,
20,0.34817172,422.5645476133863,3.1e-05,2.094594594594595e-09,0.0676,,,,
21,0.38098184,462.38512239692085,2.1e-05,1.4189189189189188e-09,0.0678,,,,
22,0.4093011,495.12280492977953,1.632494,0.00011030364864864865,0.0676,,,,
23,0.43993681,531.5058077288652,2.431046,0.00016425986486486485,0.0676,,,,
24,0.46975823,566.8315805055693,3.298551,0.00022287506756756754,0.0676,,,,
25,0.49953705,602.0210690617456,4.250638,0.0002872052702702703,0.0676,,,,
26,0.5286859,636.2446667243586,5.404042,0.00036513797297297294,0.0676,,,,
27,0.55935116,672.2427673876832,6.62336,0.0004475243243243243,0.0678,,,,
28,0.58884691,706.8363881841236,7.827762,0.0005289028378378378,0.0676,,,,
29,0.61883611,741.7770940350091,9.283963,0.0006272947972972973,0.0676,,,,
30,0.64659317,774.1007758969607,10.648113,0.0007194670945945946,0.0682,,,,
31,0.67642485,808.6532698986086,12.301349,0.0008311722297297297,0.0686,,,,
32,0.70499623,841.5964321929563,14.034332,0.0009482656756756756,0.0686,,,,
33,0.73276458,873.5110483570148,15.82125,0.0010690033783783783,0.0697,,,,
34,0.76092244,905.8560250120997,17.650543,0.0011926042567567566,0.0699,,,,
35,0.78929716,938.4422335250164,19.5018,0.0013176891891891892,0.0697,,,,
36,0.81745895,970.634221891995,21.488851,0.0014519493918918919,0.0699,,,,
37,0.84611895,1003.4293483690459,23.477425,0.0015863125,0.0699,,,,
38,0.87330232,1034.2447745245538,25.653562,0.0017333487837837838,0.0701,,,,
39,0.90072503,1065.329813775392,27.850565,0.0018817949324324325,0.0709,,,,
40,0.92815205,1097.3183909316408,29.149261,0.001969544662162162,0.0709,,,,
41,0.91306764,1081.3996520595879,26.760547,0.0018081450675675676,0.0709,,,,
42,0.88563613,1050.4428335378423,24.424643,0.0016503137162162161,0.0701,,,,
43,0.85852453,1019.643740273585,22.319278,0.0015080593243243243,0.0699,,,,
44,0.83043627,987.7560318520383,20.117188,0.0013592694594594594,0.0699,,,,
45,0.80244978,955.809483336198,18.097453,0.0012228008783783785,0.0693,,,,
46,0.77437906,923.5272566364366,16.311169,0.0011021060135135135,0.0688,,,,
47,0.74600385,890.8675884266173,14.532777,0.0009819443918918918,0.0688,,,,
48,0.71754125,857.9104898446874,12.945753,0.0008747130405405405,0.0688,,,,
49,0.68810649,823.5706706076364,11.561571,0.0007811872297297297,0.0688,,,,
50,0.65974211,790.7216894130358,9.985636,0.0006747051351351351,0.0688,,,,
51,0.63098538,757.1935349127069,8.612692,0.0005819386486486486,0.068,,,,
52,0.60167229,722.9553045576183,7.274588,0.0004915262162162162,0.0678,,,,
53,0.57195161,688.123600609458,6.035279,0.0004077891216216216,0.0678,,,,
54,0.54273735,653.8665489786592,4.835943,0.0003267529054054054,0.0678,,,,
55,0.51486451,621.05194373425,3.822198,0.00025825662162162164,0.0672,,,,
56,0.48298346,583.3657316884062,2.815427,0.00019023155405405406,0.0668,,,,
57,0.45267234,547.342768109064,2.05078,0.00013856621621621622,0.0676,,,,
58,0.42228832,511.24881619459336,1.268645,8.571925675675676e-05,0.0676,,,,
59,0.39371977,477.84475057827615,0.0,0.0,0.067,,,,
