,T,V,V_c,I,P,Voltaje desde Gen Fun,Mediciones p/s,Fecha,Periodo,Distancia
0,0.152034725,184.51954238425373,8.785e-06,5.935810810810811e-10,0.191,1.62,0.1,Fri Oct 18 11:19:48 2024,20.0,15.6
1,0.36118033,438.35268357100733,1.76475e-05,1.1923986486486486e-09,0.191,,,,,
2,0.566247205,687.2356070420116,2.3617e-05,1.5957432432432433e-09,0.191,,,,,
3,0.67800013,770.9803819843548,51.8861025,0.0035058177364864864,0.191,,,,,
4,0.50843737,598.4170975572064,18.6566355,0.0012605834797297297,0.191,,,,,
5,0.35455277,430.30905470605404,-5.3345e-06,-3.604391891891892e-10,0.191,,,,,
6,0.161014845,195.4184495461677,-2.1743e-05,-1.4691216216216216e-09,0.188,,,,,
7,0.052472792,63.684507219879464,-3.3775000000000003e-06,-2.2820945945945947e-10,0.191,,,,,
8,0.22682341,275.2881056649848,1.5571e-05,1.0520945945945946e-09,0.191,,,,,
9,0.422925765,513.2910856420921,2.1608e-05,1.4600000000000001e-09,0.191,,,,,
10,0.61902133,751.285827306761,2.5157499999999998e-05,1.699831081081081e-09,0.191,,,,,
11,0.61346815,699.9363718283521,44.6097685,0.0030141735472972975,0.191,,,,,
12,0.48153391,570.8309270232454,13.59096045,0.0009183081385135135,0.191,,,,,
13,0.31994413,388.30570280503395,-2.2857e-05,-1.544391891891892e-09,0.191,,,,,
14,0.12242134299999999,148.5787835332969,-2.1254499999999998e-05,-1.4361148648648647e-09,0.191,,,,,
15,0.066943331,81.2469147627931,6.8855e-06,4.652364864864865e-10,0.191,,,,,
16,0.26328075,319.535179563004,1.7554e-05,1.1860810810810812e-09,0.191,,,,,
17,0.46021088499999996,558.5428099003266,2.2623e-05,1.5285810810810812e-09,0.191,,,,,
18,0.656264755,796.4869475362373,2.63495e-05,1.7803716216216215e-09,0.191,,,,,
19,0.590649515,678.6574441544109,38.1944685,0.002580707331081081,0.191,,,,,
20,0.45427366,542.5010475373582,8.83597005,0.0005970250033783784,0.191,,,,,
21,0.28222425500000003,342.52633014413755,-2.3330500000000003e-05,-1.5763851351351354e-09,0.191,,,,,
22,0.0870017065,105.59113296764889,-1.9922e-05,-1.346081081081081e-09,0.191,,,,,
23,0.110026228,133.53520914246712,9.2585e-06,6.255743243243243e-10,0.191,,,,,
24,0.301235775,365.5999455178787,1.85635e-05,1.2542905405405406e-09,0.191,,,,,
25,0.49803741,604.4516205061146,2.2752999999999997e-05,1.5373648648648648e-09,0.192,,,,,
26,0.6936443800000001,813.1720182148443,28.681378558000002,0.001937930983648649,0.191,,,,,
27,0.56599064,655.1854931470474,31.738753000000003,0.002144510337837838,0.191,,,,,
28,0.42802341499999996,514.0431312898284,5.4348263,0.00036721799324324327,0.191,,,,,
29,0.244643165,296.9153942074507,-2.1733e-05,-1.468445945945946e-09,0.191,,,,,
30,0.056367487499999994,68.41138439978171,-1.65755e-05,-1.1199662162162163e-09,0.19,,,,,
31,0.144530455,175.41185313800705,1.20585e-05,8.147635135135135e-10,0.191,,,,,
32,0.33850380999999996,410.8309350118805,1.88395e-05,1.2729391891891894e-09,0.191,,,,,
33,0.5345263149999999,648.737005368677,2.3175e-05,1.5658783783783784e-09,0.191,,,,,
34,0.6633084300000001,778.5012546302039,26.534396208,0.0017928646086486488,0.191,,,,,
35,0.540722725,630.7235112995392,25.533896499999997,0.0017252632770270269,0.191,,,,,
36,0.39972158,482.8157441330329,2.313206074,0.0001562977077027027,0.191,,,,,
37,0.2063142,250.39678948105222,-2.26645e-05,-1.531385135135135e-09,0.191,,,,,
38,0.0379174615,46.01918489844073,-7.519999999999999e-06,-5.08108108108108e-10,0.19,,,,,
39,0.179472165,217.8194577631901,1.2974e-05,8.766216216216216e-10,0.191,,,,,
40,0.376113945,456.4771185128966,2.064e-05,1.3945945945945946e-09,0.191,,,,,
41,0.580880515,704.9955731748597,2.51055e-05,1.6963175675675674e-09,0.191,,,,,
42,0.656637445,747.9909689953253,48.9483265,0.0033073193581081082,0.191,,,,,
43,0.497714215,587.6564321050435,16.40296,0.001108308108108108,0.191,,,,,
44,0.34295038499999997,416.22763317738344,-1.7325e-05,-1.170608108108108e-09,0.191,,,,,
45,0.14548286,176.56779019910877,-2.2342e-05,-1.5095945945945947e-09,0.187,,,,,
46,0.0554486005,67.29614622766461,-1.3685000000000005e-06,-9.246621621621625e-11,0.191,,,,,
47,0.24086739000000001,292.33282219568594,1.6201e-05,1.0946621621621622e-09,0.191,,,,,
48,0.43712266,530.5213897883118,2.25345e-05,1.5226013513513512e-09,0.191,,,,,
49,0.63367799,769.0741338215273,2.5392e-05,1.7156756756756757e-09,0.192,,,,,
50,0.60614119,693.6322566777123,42.021393,0.002839283310810811,0.191,,,,,
51,0.47092996,559.7784611635237,11.77376055,0.0007955243614864865,0.191,,,,,
52,0.30562464,370.92661005073967,-2.46995e-05,-1.6688851351351352e-09,0.19,,,,,
53,0.108542378,131.7343400836115,-2.1681e-05,-1.4649324324324324e-09,0.187,,,,,
54,0.0773559425,93.8843599113146,6.245e-06,4.219594594594595e-10,0.191,,,,,
55,0.30247571,367.1048131701992,1.9287e-05,1.3031756756756758e-09,0.191,,,,,
56,0.50065979,607.6343166720934,2.3043999999999998e-05,1.557027027027027e-09,0.191,,,,,
57,0.69540304,814.7034554422892,29.284369198,0.0019786735944594593,0.191,,,,,
58,0.5652504949999999,654.6012289753938,31.4247275,0.0021232923986486485,0.191,,,,,
59,0.42690593,513.7094659733461,4.412236783,0.00029812410695945944,0.191,,,,,
