,T,V,V_c,I,P,V_gen,Mediciones p/s,Fecha,Periodo,Distancia
0,0.0860827415,104.47580144649422,-6.031999999999999e-06,-4.075675675675675e-10,0.191,1.58,0.3,Fri Oct 18 12:14:56 2024,50.0,15.6
1,0.021187688,25.714810465537223,-9.5865e-06,-6.477364864864865e-10,0.191,,,,,
2,0.07829602699999999,95.02530579731278,1.00335e-05,6.779391891891891e-10,0.192,,,,,
3,0.163496195,198.4299483231883,1.2459e-05,8.418243243243244e-10,0.191,,,,,
4,0.249910115,303.30768395893404,1.2703500000000001e-05,8.583445945945947e-10,0.187,,,,,
5,0.33589174499999996,407.66076286603897,1.3505e-05,9.125e-10,0.191,,,,,
6,0.42260277999999996,512.8990962121221,1.4754e-05,9.96891891891892e-10,0.191,,,,,
7,0.507748695,616.237895683688,1.5149999999999999e-05,1.0236486486486485e-09,0.191,,,,,
8,0.59561497,722.8783069339462,1.53315e-05,1.0359121621621621e-09,0.191,,,,,
9,0.641853055,753.3110508836763,25.6849161575,0.001735467307939189,0.191,,,,,
10,0.62197381,704.3002729469714,50.568907499999995,0.003416818074324324,0.191,,,,,
11,0.565335385,650.9688396796331,35.160145,0.002375685472972973,0.192,,,,,
12,0.505673475,592.2355764937026,21.483708,0.001451601891891892,0.192,,,,,
13,0.44312447,528.2617427015684,9.54386925,0.0006448560304054054,0.191,,,,,
14,0.37853304,459.4131411435851,-2.586e-05,-1.7472972972972973e-09,0.191,,,,,
15,0.292141,354.56194080504935,-6.3645e-06,-4.3003378378378375e-10,0.19,,,,,
16,0.20275699,246.07950323310732,-5.334e-06,-3.604054054054054e-10,0.191,,,,,
17,0.11951998999999999,145.0574905928896,-5.136500000000001e-06,-3.4706081081081084e-10,0.192,,,,,
18,0.032396287499999996,39.318337070787855,-2.71975e-05,-1.8376689189189189e-09,0.191,,,,,
19,0.0436040745,52.9208242069803,8.556e-06,5.781081081081081e-10,0.191,,,,,
20,0.13976060499999998,169.62284503906105,9.909e-06,6.69527027027027e-10,0.191,,,,,
21,0.22865484,277.5108552338287,1.2428e-05,8.397297297297298e-10,0.191,,,,,
22,0.31501733,382.32617135912517,1.32815e-05,8.973986486486486e-10,0.192,,,,,
23,0.400702585,486.31954922308273,1.4525e-05,9.81418918918919e-10,0.191,,,,,
24,0.48755299,591.7270325096573,1.4624000000000001e-05,9.881081081081081e-10,0.192,,,,,
25,0.5734399649999999,695.9652325963176,1.4582e-05,9.852702702702703e-10,0.192,,,,,
26,0.659216915,800.0698905029602,2.2992e-05,1.5535135135135134e-09,0.191,,,,,
27,0.625254905,704.4808961596983,54.3704415,0.0036736784797297296,0.191,,,,,
28,0.57884261,663.9104214300216,38.611838500000005,0.002608908006756757,0.191,,,,,
29,0.52067533,607.1773940743079,24.749149,0.0016722397972972973,0.192,,,,,
30,0.45848913999999996,544.10214667867,12.351060499999999,0.0008345311148648648,0.192,,,,,
31,0.39640040499999996,479.0180937154927,2.0800554995000002,0.00014054429050675677,0.191,,,,,
32,0.312886765,379.74039616730397,-8.275000000000001e-06,-5.591216216216217e-10,0.192,,,,,
33,0.22674260499999999,275.19005659704726,-5.735e-06,-3.875e-10,0.192,,,,,
34,0.14060285,170.64506654108007,-6.5055e-06,-4.395608108108108e-10,0.192,,,,,
35,0.053080485499999996,64.42207090420852,-2.94245e-05,-1.988141891891892e-09,0.189,,,,,
36,0.0284490705,34.52770609224376,-3.820000000000001e-06,-2.5810810810810813e-10,0.191,,,,,
