,T,V,V_c,I,P,Voltaje desde Gen Fun,Mediciones p/s,Fecha,Periodo
0,0.035713147,43.34388492174847,-1.1637e-05,-7.862837837837838e-10,0.191,1.62,0.3,Fri Oct 18 11:24:53 2024,20.0
1,0.17894517,217.1798599427472,1.4275499999999999e-05,9.645608108108108e-10,0.191,,,,
2,0.3748036,454.88679534364786,2.11295e-05,1.427668918918919e-09,0.191,,,,
3,0.57126706,693.3280386264274,2.51365e-05,1.698412162162162e-09,0.191,,,,
4,0.67640318,768.2053067314998,52.723012,0.0035623656756756756,0.191,,,,
5,0.51557487,605.5602853298843,20.175997,0.0013632430405405404,0.191,,,,
6,0.362903485,440.44406033734356,-2.25035e-05,-1.5205067567567567e-09,0.191,,,,
7,0.170966465,207.4964026393847,-2.05675e-05,-1.3896959459459459e-09,0.191,,,,
8,0.0447234725,54.27941716371756,-7.822e-06,-5.285135135135135e-10,0.191,,,,
9,0.21587440000000002,261.99965254848917,1.49415e-05,1.0095608108108108e-09,0.191,,,,
10,0.412555695,500.70527289107014,2.1071999999999997e-05,1.4237837837837836e-09,0.191,,,,
11,0.60891215,739.0166449521205,2.78475e-05,1.8815878378378378e-09,0.191,,,,
12,0.61291071,697.1181662130718,46.7514275,0.0031588802364864864,0.191,,,,
13,0.489094755,578.5075146649204,15.090722,0.0010196433783783783,0.192,,,,
14,0.33111026,401.8576722613198,-2.7156000000000002e-05,-1.834864864864865e-09,0.191,,,,
15,0.13427701,162.96761994718307,-2.41065e-05,-1.6288175675675676e-09,0.191,,,,
16,0.0618179675,75.02643207653597,4.267499999999999e-06,2.8834459459459455e-10,0.191,,,,
17,0.25362077,307.81117965498606,1.70805e-05,1.1540878378378378e-09,0.187,,,,
18,0.44951393500000003,545.5602732887911,2.243e-05,1.5155405405405407e-09,0.191,,,,
19,0.645679695,783.6402078974514,2.6401e-05,1.7838513513513513e-09,0.191,,,,
20,0.598280365,686.2045221148194,39.908702500000004,0.002696533952702703,0.191,,,,
21,0.462254785,550.9312643582201,10.09218245,0.0006819042195945946,0.191,,,,
22,0.29315413999999995,355.7915752279174,-2.6052500000000002e-05,-1.7603040540540542e-09,0.191,,,,
23,0.0964608265,117.07135845571179,-2.2211999999999997e-05,-1.5008108108108105e-09,0.191,,,,
24,0.0914109445,110.94245366332687,6.693e-06,4.5222972972972973e-10,0.187,,,,
25,0.290450025,352.5096346125531,1.90215e-05,1.2852364864864865e-09,0.187,,,,
26,0.486701955,590.6941496914028,2.42205e-05,1.6365202702702703e-09,0.191,,,,
27,0.68299979,799.6585219607059,29.2758856195,0.0019781003796959457,0.191,,,,
28,0.573677855,662.789924456283,33.464042,0.002261083918918919,0.191,,,,
29,0.43611837,522.6857945922083,6.61674395,0.0004470772939189189,0.191,,,,
30,0.28048997,340.4214876929382,-2.561e-05,-1.7304054054054055e-09,0.191,,,,
31,0.0853485075,103.58470191485581,-2.21855e-05,-1.4990202702702703e-09,0.191,,,,
32,0.11230640900000001,136.3025902268838,8.9465e-06,6.044932432432433e-10,0.191,,,,
33,0.30270387,367.3817238783092,1.88755e-05,1.2753716216216215e-09,0.191,,,,
34,0.49938295,606.0846571601561,2.3794e-05,1.6077027027027026e-09,0.191,,,,
35,0.69529597,814.0382281266953,29.819649172,0.00201484116027027,0.191,,,,
36,0.56557124,655.1395606449513,31.2756735,0.0021132211824324326,0.191,,,,
37,0.42698753,513.8306603036668,4.390077692,0.0002966268710810811,0.187,,,,
38,0.24306726,295.0027673057366,-1.8959e-05,-1.2810135135135134e-09,0.19,,,,
39,0.0554168335,67.25761098185707,-2.0687e-05,-1.3977702702702703e-09,0.187,,,,
40,0.14545094,176.5290167092275,1.0892500000000001e-05,7.359797297297298e-10,0.187,,,,
41,0.33985428,412.46995500896446,1.9916499999999998e-05,1.3457094594594594e-09,0.187,,,,
42,0.536221685,650.7946188587914,2.45585e-05,1.659358108108108e-09,0.187,,,,
43,0.667579045,783.7321883272502,26.486567640500002,0.0017896329486824325,0.191,,,,
44,0.5398288250000001,629.6689852354626,25.503525500000002,0.0017232111824324325,0.191,,,,
45,0.39806633,480.91544242141816,2.204585238,0.00014895846202702702,0.187,,,,
46,0.20640521,250.50724288774052,-2.0224e-05,-1.3664864864864866e-09,0.19,,,,
47,0.0372348615,45.190740485849844,-1.2302999999999999e-05,-8.312837837837837e-10,0.191,,,,
48,0.18083313499999998,219.47122103033354,1.4286e-05,9.652702702702702e-10,0.191,,,,
49,0.37669255999999995,457.1793635675469,2.1602500000000002e-05,1.4596283783783785e-09,0.191,,,,
50,0.5737269650000001,696.3135445189477,2.5131e-05,1.6980405405405406e-09,0.191,,,,
51,0.67263347,765.984817544991,50.368328,0.0034032654054054054,0.191,,,,
52,0.51385068,603.7303335690495,19.913356,0.001345497027027027,0.192,,,,
53,0.36230514999999996,439.717879242524,-2.0942e-05,-1.415e-09,0.188,,,,
54,0.16899155999999999,205.09952453840458,-1.9786499999999998e-05,-1.3369256756756756e-09,0.192,,,,
55,0.046891918500000004,56.91118957079256,-8.5555e-06,-5.780743243243243e-10,0.191,,,,
56,0.21777211000000002,264.302839120938,1.66535e-05,1.1252364864864865e-09,0.188,,,,
57,0.41422293,502.7287394229601,2.28885e-05,1.5465202702702702e-09,0.187,,,,
58,0.6105583,741.0145243876835,2.65885e-05,1.7965202702702704e-09,0.191,,,,
59,0.631385415,719.8444767504716,46.4472595,0.0031383283445945947,0.191,,,,
