,T,V,V_c,I,P,V_gen,Mediciones p/s,Fecha,Periodo
0,0.54386812,555.1340303802095,104.94084,0.007090597297297297,0.501,1.9,0.3,Fri Oct 18 13:58:14 2024,50.0
1,0.55877567,565.9907640803722,112.17691,0.007579520945945947,0.501,,,,
2,0.56934285,572.2708832990422,118.72183,0.00802174527027027,0.501,,,,
3,0.57976316,-9.9e+37,9.9e+37,6.689189189189189e+33,0.501,,,,
4,0.59032511,-9.9e+37,9.9e+37,6.689189189189189e+33,0.501,,,,
5,0.60053304,-9.9e+37,9.9e+37,6.689189189189189e+33,0.501,,,,
6,0.61115106,-9.9e+37,9.9e+37,6.689189189189189e+33,0.501,,,,
7,0.6133014,-9.9e+37,9.9e+37,6.689189189189189e+33,0.501,,,,
8,0.60289815,-9.9e+37,9.9e+37,6.689189189189189e+33,0.501,,,,
9,0.59243182,-9.9e+37,9.9e+37,6.689189189189189e+33,0.501,,,,
10,0.58185491,-9.9e+37,9.9e+37,6.689189189189189e+33,0.501,,,,
11,0.5721532,578.8703327699313,115.53321,0.007806297972972972,0.501,,,,
12,0.5611751,572.3873134465848,108.69247,0.007344085810810811,0.501,,,,
13,0.55067696,566.1379958078496,102.20054,0.006905441891891892,0.501,,,,
14,0.53992219,559.4630947687857,95.82273,0.006474508783783784,0.501,,,,
15,0.52930919,553.3135723213697,89.091603,0.006019702905405406,0.501,,,,
16,0.5184807,546.4043307401156,82.858662,0.005598558243243243,0.501,,,,
17,0.50799553,539.936929364297,76.600557,0.0051757133108108104,0.495,,,,
18,0.49665955,532.6683128418323,70.111067,0.004737234256756757,0.491,,,,
19,0.4856032,525.4038590641127,63.956792,0.004321404864864865,0.491,,,,
20,0.474344,517.8817619053126,57.813968,0.003906349189189189,0.495,,,,
21,0.46281282,510.03093255545355,51.669783,0.003491201554054054,0.499,,,,
22,0.45092769,501.5924767183701,45.683647,0.0030867329054054056,0.499,,,,
23,0.43930819,493.49820728595233,39.675711,0.002680791283783784,0.501,,,,
24,0.42710265,484.3453483578063,34.015107,0.0022983180405405407,0.501,,,,
25,0.41501867,475.2480218082363,28.446504,0.0019220610810810812,0.501,,,,
26,0.40230984,465.2075643409035,23.062672,0.0015582886486486486,0.499,,,,
27,0.38904405,454.4090448185218,17.760938,0.0012000633783783782,0.499,,,,
28,0.37568041,442.987448965656,12.963523,0.0008759137162162162,0.499,,,,
29,0.3617022,431.24597969331404,7.740098,0.0005229795945945946,0.499,,,,
30,0.35695514,433.22465391918325,7.3e-05,4.932432432432432e-09,0.499,,,,
31,0.33338693,404.6206706923781,9.4e-05,6.351351351351351e-09,0.497,,,,
32,0.31077187,377.1735263082002,8.3e-05,5.608108108108108e-09,0.497,,,,
33,0.28776482,349.2506255384676,8.3e-05,5.608108108108108e-09,0.499,,,,
34,0.2644316,320.931841954897,0.000104,7.0270270270270265e-09,0.499,,,,
35,0.24178088,293.44144820020244,6.3e-05,4.256756756756757e-09,0.499,,,,
36,0.2184969,265.18244658702565,6.3e-05,4.256756756756757e-09,0.495,,,,
37,0.1958872,237.741776458764,8.3e-05,5.608108108108108e-09,0.491,,,,
38,0.17196542,208.70873893825086,4.2e-05,2.8378378378378377e-09,0.49,,,,
39,0.14993705,181.97364093344774,3.1e-05,2.094594594594595e-09,0.49,,,,
40,0.1266732,153.7390704399711,3.1e-05,2.094594594594595e-09,0.491,,,,
41,0.10324822,125.30894175885074,3.1e-05,2.094594594594595e-09,0.493,,,,
42,0.08106053,98.3804603039429,4.2e-05,2.8378378378378377e-09,0.499,,,,
43,0.05779648,70.14561607703651,7.3e-05,4.932432432432432e-09,0.499,,,,
44,0.03387283,41.11027799895555,6.3e-05,4.256756756756757e-09,0.497,,,,
45,0.01388069,16.846454452016623,8.3e-05,5.608108108108108e-09,0.495,,,,
46,0.02387635,28.97788962195519,5.2e-05,3.5135135135135133e-09,0.49,,,,
47,0.02431008,29.504293474289845,5.2e-05,3.5135135135135133e-09,0.49,,,,
48,0.05788049,70.24759725418504,5.2e-05,3.5135135135135133e-09,0.49,,,,
49,0.07475022,90.72181335986268,7.3e-05,4.932432432432432e-09,0.49,,,,
