,T,V,V_c,I,P,V_gen,Mediciones p/s,Fecha,Periodo
50,0.09801564,118.95833131076257,3.1e-05,2.094594594594595e-09,0.49,,,,
51,0.12149437,147.45368360111672,4.2e-05,2.8378378378378377e-09,0.49,,,,
52,0.14409698,174.8857608292953,1e-05,6.756756756756757e-10,0.49,,,,
53,0.16685774,202.5097785170148,-2.1e-05,-1.4189189189189188e-09,0.49,,,,
54,0.19004545,230.651919393802,0.0,0.0,0.49,,,,
55,0.2132001,258.75395743465845,0.0,0.0,0.49,,,,
56,0.23663825,287.20009111212505,-2.1e-05,-1.4189189189189188e-09,0.49,,,,
57,0.25875984,314.0483481685147,-3.1e-05,-2.094594594594595e-09,0.49,,,,
58,0.28242072,342.7647599299747,-1e-05,-6.756756756756757e-10,0.497,,,,
59,0.30499017,370.1565919555078,-4.2e-05,-2.8378378378378377e-09,0.499,,,,
60,0.32855994,398.7624475030647,-4.2e-05,-2.8378378378378377e-09,0.501,,,,
61,0.35171667,426.8669989715902,-3.1e-05,-2.094594594594595e-09,0.497,,,,
62,0.37441029,454.40950004695696,-3.1e-05,-2.094594594594595e-09,0.495,,,,
63,0.39686938,481.6673497659776,-2.1e-05,-1.4189189189189188e-09,0.497,,,,
64,0.42024699,510.0400180342718,-5.2e-05,-3.5135135135135133e-09,0.497,,,,
65,0.44366506,538.4617712753958,-6.3e-05,-4.256756756756757e-09,0.499,,,,
66,0.46663269,566.336808286133,-4.2e-05,-2.8378378378378377e-09,0.499,,,,
67,0.48935706,593.9166296263173,-4.2e-05,-2.8378378378378377e-09,0.499,,,,
68,0.51272115,622.2728791147633,-6.3e-05,-4.256756756756757e-09,0.491,,,,
69,0.53555843,649.9897146126889,-4.2e-05,-2.8378378378378377e-09,0.49,,,,
70,0.55830564,677.5972451105457,-3.1e-05,-2.094594594594595e-09,0.49,,,,
71,0.58185993,706.1842820906433,0.0,0.0,0.49,,,,
72,0.6047517,733.9672813114927,-1e-05,-6.756756756756757e-10,0.49,,,,
73,0.6277285,761.853479649982,-2.1e-05,-1.4189189189189188e-09,0.49,,,,
74,0.65016848,789.0881561897941,-3.1e-05,-2.094594594594595e-09,0.49,,,,
75,0.67346501,817.362421325685,-6.3e-05,-4.256756756756757e-09,0.491,,,,
76,0.69674458,803.6720616667365,41.943946,0.0028340504054054053,0.495,,,,
77,0.53603244,552.0832799777667,98.481683,0.00665416777027027,0.499,,,,
78,0.54705701,558.9824514135055,104.96267,0.0070920722972972975,0.499,,,,
79,0.55788416,565.5444276807806,111.54125,0.007536570945945946,0.499,,,,
80,0.56838355,571.7180224034514,118.11042,0.007980433783783785,0.501,,,,
81,0.57887697,-9.9e+37,9.9e+37,6.689189189189189e+33,0.499,,,,
82,0.58938954,-9.9e+37,9.9e+37,6.689189189189189e+33,0.499,,,,
83,0.59961757,-9.9e+37,9.9e+37,6.689189189189189e+33,0.501,,,,
84,0.60983722,-9.9e+37,9.9e+37,6.689189189189189e+33,0.499,,,,
85,0.61403589,-9.9e+37,9.9e+37,6.689189189189189e+33,0.499,,,,
86,0.60419787,-9.9e+37,9.9e+37,6.689189189189189e+33,0.499,,,,
87,0.59335933,-9.9e+37,9.9e+37,6.689189189189189e+33,0.499,,,,
88,0.58364684,-9.9e+37,9.9e+37,6.689189189189189e+33,0.501,,,,
89,0.57287765,579.2261939356885,116.05659,0.007841661486486486,0.499,,,,
90,0.56237973,573.1348333037259,109.40697,0.007392362837837838,0.499,,,,
91,0.5519022,566.9342593449223,102.89131,0.006952115540540541,0.499,,,,
92,0.54145593,560.7407816211818,96.406493,0.00651395222972973,0.501,,,,
93,0.53055535,553.9366817751896,89.980917,0.006079791689189189,0.501,,,,
94,0.51953594,547.1206738619372,83.423029,0.005636691148648649,0.499,,,,
95,0.50869477,540.2363299812396,77.149801,0.005212824391891892,0.501,,,,
96,0.49798218,533.6149854225009,70.769627,0.004781731554054054,0.497,,,,
97,0.48687928,526.358489439017,64.550898,0.0043615471621621625,0.491,,,,
98,0.47539077,518.552973266386,58.413187,0.003946836959459459,0.491,,,,
99,0.46401723,511.01809840582223,52.14437,0.0035232682432432432,0.495,,,,
100,0.45246112,502.82967633395015,46.307521,0.003128886554054054,0.501,,,,
101,0.44058837,494.4523946961655,40.275236,0.0027212997297297297,0.501,,,,
102,0.42847697,485.4273113933828,34.601111,0.0023379129054054057,0.499,,,,
103,0.41625499,476.1582047773148,29.036802,0.001961946081081081,0.499,,,,
104,0.40381095,466.5576062342429,23.534478,0.0015901674324324325,0.493,,,,
105,0.39068869,455.9195133576906,18.246515,0.0012328726351351351,0.491,,,,
106,0.37719857,444.57590988387784,13.217603,0.0008930812837837838,0.495,,,,
107,0.36263797,431.1234460008999,8.998345,0.0006079962837837838,0.499,,,,
108,0.34785966,417.54369364301414,4.642148,0.00031365864864864865,0.491,,,,
109,0.34359003,417.003900975609,3.1e-05,2.094594594594595e-09,0.491,,,,
110,0.31267333,379.4813278444561,2.1e-05,1.4189189189189188e-09,0.493,,,,
111,0.29028047,352.3038393006831,3.1e-05,2.094594594594595e-09,0.491,,,,
112,0.26686408,323.88411502036865,5.2e-05,3.5135135135135133e-09,0.49,,,,
113,0.24374584,295.8263086003903,1e-05,6.756756756756757e-10,0.491,,,,
114,0.22040656,267.5001701938995,3.1e-05,2.094594594594595e-09,0.491,,,,
115,0.19832114,240.6958314782725,2.1e-05,1.4189189189189188e-09,0.495,,,,
116,0.17461414,211.92340338792195,4.2e-05,2.8378378378378377e-09,0.495,,,,
117,0.15191634,184.37582918387426,4.2e-05,2.8378378378378377e-09,0.499,,,,
118,0.12898653,156.54671406469458,0.0,0.0,0.501,,,,
119,0.10543551,127.96365677617275,-4.2e-05,-2.8378378378378377e-09,0.499,,,,
120,0.08318168,100.9548933760607,-2.1e-05,-1.4189189189189188e-09,0.501,,,,
121,0.06065631,73.61657079843513,0.0,0.0,0.501,,,,
122,0.03695465,44.85062369065775,2.1e-05,1.4189189189189188e-09,0.499,,,,
123,0.01501836,18.22731115689194,-2.1e-05,-1.4189189189189188e-09,0.491,,,,
124,0.0236597,28.71501063422479,-1e-05,-6.756756756756757e-10,0.49,,,,
125,0.02418999,29.35861718642212,-2.1e-05,-1.4189189189189188e-09,0.497,,,,
126,0.05492766,66.66389648797254,0.0,0.0,0.501,,,,
127,0.07305192,88.66071544150344,0.0,0.0,0.501,,,,
128,0.09566246,116.10235405016986,3.1e-05,2.094594594594595e-09,0.499,,,,
129,0.11817989,143.43101911063604,3.1e-05,2.094594594594595e-09,0.495,,,,
130,0.14218067,172.55998733588365,2.1e-05,1.4189189189189188e-09,0.49,,,,
131,0.16473952,199.9389434896422,0.0,0.0,0.49,,,,
132,0.18795034,228.10914321423203,1e-05,6.756756756756757e-10,0.49,,,,
133,0.21086459,255.91941567258039,1e-05,6.756756756756757e-10,0.491,,,,
134,0.23402385,284.0270377189917,2.1e-05,1.4189189189189188e-09,0.49,,,,
135,0.25666202,311.50225195097215,1e-05,6.756756756756757e-10,0.495,,,,
136,0.28027551,340.1611790262631,0.0,0.0,0.499,,,,
137,0.30282434,367.5279112351934,4.2e-05,2.8378378378378377e-09,0.501,,,,
138,0.32577251,395.37933028322016,6.3e-05,4.256756756756757e-09,0.499,,,,
139,0.34858683,423.0683209834152,6.3e-05,4.256756756756757e-09,0.499,,,,
140,0.37201443,451.5016504724648,4.2e-05,2.8378378378378377e-09,0.499,,,,
141,0.39481832,479.17797262430065,5.2e-05,3.5135135135135133e-09,0.499,,,,
142,0.41787891,507.1658321331659,7.3e-05,4.932432432432432e-09,0.499,,,,
143,0.44156086,535.9078268614456,8.3e-05,5.608108108108108e-09,0.499,,,,
144,0.4639461,563.0760572615468,8.3e-05,5.608108108108108e-09,0.501,,,,
145,0.48700074,591.0567264508783,7.3e-05,4.932432432432432e-09,0.499,,,,
146,0.5099629,618.9250937023129,0.000125,8.445945945945947e-09,0.499,,,,
147,0.53352638,647.5233252835055,0.000115,7.77027027027027e-09,0.497,,,,
148,0.55683331,675.8102125577412,8.3e-05,5.608108108108108e-09,0.491,,,,
149,0.57967026,703.5266785455078,7.3e-05,4.932432432432432e-09,0.49,,,,
