,T,V,V_c,I,P,Voltaje desde Gen Fun,Mediciones p/s,Fecha,Periodo,Distancia
0,0.6095028600000001,685.7038226209326,54.0297755,0.003650660506756757,0.195,1.65,0.1,Fri Oct 18 11:06:20 2024,50.0,15.6
1,0.509930575,598.1705379117366,20.715449,0.0013996925,0.199,,,,,
2,0.50277968,589.7163050676038,20.4908755,0.001384518614864865,0.201,,,,,
3,0.54294387,628.1057060181748,30.8474325,0.0020842859797297296,0.2,,,,,
4,0.487474685,573.2880934275912,18.3439175,0.001239453885135135,0.199,,,,,
5,0.42920941,513.0791793096568,7.83818145,0.0005296068547297298,0.195,,,,,
6,0.365801395,443.96114727225836,-1.1272e-05,-7.616216216216216e-10,0.195,,,,,
7,0.285556105,346.5700718209883,-8.1185e-06,-5.485472972972974e-10,0.195,,,,,
8,0.20466894,248.39997590775135,-7.104e-06,-4.8e-10,0.195,,,,,
9,0.125409155,152.20497865819948,-7.108999999999999e-06,-4.803378378378378e-10,0.195,,,,,
10,0.044686464,54.23450354105096,-1.02e-05,-6.891891891891893e-10,0.195,,,,,
11,0.0361701055,43.8984707144429,-1.9100000000000003e-06,-1.2905405405405407e-10,0.196,,,,,
12,0.10996481550000001,133.46067721320765,6.854000000000001e-06,4.6310810810810815e-10,0.196,,,,,
13,0.188805095,229.1465337837792,7.494e-06,5.063513513513513e-10,0.195,,,,,
14,0.268644105,326.04451582544203,9.061e-06,6.122297297297297e-10,0.195,,,,,
15,0.34884952,423.3871919176643,1.0289e-05,6.952027027027026e-10,0.195,,,,,
16,0.4289935,520.6553070086162,1.0877000000000001e-05,7.349324324324325e-10,0.195,,,,,
17,0.508544655,617.2039289667372,1.23705e-05,8.358445945945945e-10,0.195,,,,,
18,0.5887661900000001,714.5661693103939,1.3661500000000001e-05,9.230743243243244e-10,0.195,,,,,
19,0.6687558549999999,811.6469980478191,1.3556999999999999e-05,9.160135135135135e-10,0.195,,,,,
20,0.6398203950000001,736.0972958750326,40.4316985,0.0027318715202702703,0.2,,,,,
21,0.505254805,592.4746614686248,20.736497,0.001401114662162162,0.204,,,,,
22,0.5018783099999999,581.2606094099277,27.852608,0.001881932972972973,0.199,,,,,
23,0.51608556,601.7866875059703,24.569402500000002,0.0016600947635135137,0.199,,,,,
24,0.459049975,544.2231291939194,12.910744999999999,0.000872347635135135,0.197,,,,,
25,0.39993579,482.76866331992085,2.6202665269999996,0.0001770450356081081,0.196,,,,,
26,0.327099715,396.9901862860932,-7.895e-06,-5.334459459459459e-10,0.195,,,,,
27,0.247061325,299.8502215078553,-7.681500000000001e-06,-5.190202702702703e-10,0.195,,,,,
28,0.167421825,203.19437707399692,-8.123500000000001e-06,-5.488851351351352e-10,0.195,,,,,
29,0.0867862975,105.32968575984984,-7.5409999999999995e-06,-5.09527027027027e-10,0.196,,,,,
30,0.0233502275,28.339409117099386,-5.0895e-06,-3.4388513513513513e-10,0.195,,,,,
31,0.0712625095,86.48896341840748,3.284e-06,2.218918918918919e-10,0.196,,,,,
32,0.146945825,178.34331226206723,8.154999999999999e-06,5.510135135135134e-10,0.196,,,,,
33,0.22680145000000002,275.26145943090296,9.6745e-06,6.536824324324325e-10,0.196,,,,,
34,0.30684773,372.4110005734429,8.930499999999999e-06,6.03412162162162e-10,0.195,,,,,
35,0.38702268500000003,469.7167076718208,1.0851e-05,7.331756756756757e-10,0.196,,,,,
36,0.46722935,567.0609010249788,1.1901999999999999e-05,8.041891891891891e-10,0.195,,,,,
37,0.54663848,663.4371526763288,1.26255e-05,8.530743243243243e-10,0.195,,,,,
38,0.627152055,761.1538328585439,1.3432e-05,9.075675675675675e-10,0.196,,,,,
39,0.70708793,830.1435163620497,28.0258754055,0.0018936402301013512,0.196,,,,,
40,0.565854895,665.8353628999693,20.924134,0.0014137928378378378,0.199,,,,,
41,0.502804425,589.6514142611945,20.585798500000003,0.0013909323310810813,0.2,,,,,
42,0.5479121650000001,633.5098824439121,31.4731125,0.002126561655405405,0.195,,,,,
43,0.4893649,575.1109472767619,18.815155500000003,0.0012712942905405407,0.2,,,,,
44,0.431157305,515.1706155299548,8.1108414,0.0005480298243243243,0.195,,,,,
45,0.36973063500000003,448.7299339949733,-8.488e-06,-5.735135135135136e-10,0.196,,,,,
46,0.2890438,350.8029709131026,-6.365e-06,-4.300675675675676e-10,0.195,,,,,
47,0.20904562,253.71180778990728,-6.2505000000000005e-06,-4.223310810810811e-10,0.195,,,,,
48,0.12892595499999998,156.47320282317202,-6.646e-06,-4.4905405405405407e-10,0.195,,,,,
49,0.0479142085,58.151907138569754,-6.334e-06,-4.2797297297297296e-10,0.196,,,,,
50,0.0276667725,33.578251801778094,1.0875e-06,7.347972972972972e-11,0.195,,,,,
51,0.107292599,130.21749674938093,5.938e-06,4.012162162162162e-10,0.196,,,,,
52,0.19542853,237.18517670374484,1.0044e-05,6.786486486486487e-10,0.195,,,,,
53,0.275567285,334.4469510913457,9.9245e-06,6.705743243243243e-10,0.195,,,,,
54,0.355578245,431.5536242816993,1.0409e-05,7.033108108108108e-10,0.195,,,,,
55,0.43512352499999996,528.0951163253225,1.15225e-05,7.785472972972973e-10,0.195,,,,,
56,0.515051435,625.1009938819901,1.2584e-05,8.502702702702703e-10,0.196,,,,,
57,0.59484862,721.9482150661655,1.338e-05,9.040540540540541e-10,0.196,,,,,
58,0.67846745,823.433640521709,1.4894500000000001e-05,1.0063851351351353e-09,0.195,,,,,
59,0.5738362699999999,654.6394840376183,41.8067455,0.002824780101351351,0.201,,,,,
