,T,V,V_c,I,P,V_gen,Mediciones p/s,Fecha,Periodo,Distancia
0,0.22634663500000002,274.7094611702414,1.3911e-05,9.399324324324325e-10,0.194,1.6,0.3,Fri Oct 18 13:17:50 2024,10.0,15.6
1,0.31138294,377.9152313306563,1.3562e-05,9.163513513513514e-10,0.193,,,,,
2,0.39823496,483.3246743876759,1.3963e-05,9.434459459459459e-10,0.195,,,,,
3,0.48547179,589.2011220861235,4.0978e-05,2.7687837837837838e-09,0.191,,,,,
4,0.57378938,696.3892277890235,9.2896e-05,6.276756756756757e-09,0.191,,,,,
5,0.65976635,800.7365645852162,0.00018011950000000002,1.2170236486486488e-08,0.191,,,,,
6,0.630718695,708.3200905891995,57.1624695,0.00386232902027027,0.195,,,,,
7,0.58802099,671.2188802128044,42.442878,0.002867762027027027,0.195,,,,,
8,0.528704685,613.6801434617437,27.991363999999997,0.0018913083783783783,0.195,,,,,
9,0.467138795,552.172088798343,14.7789205,0.0009985757094594595,0.191,,,,,
10,0.40225262,483.72420900666424,4.476581299999999,0.0003024717094594594,0.191,,,,,
11,0.334241615,405.6580867167248,-1.89175e-05,-1.2782094594594595e-09,0.191,,,,,
12,0.24660541,299.2968899618303,-5.1935e-06,-3.5091216216216217e-10,0.191,,,,,
13,0.15927997500000002,193.31287907218652,-5.995e-06,-4.050675675675676e-10,0.191,,,,,
14,0.070949122,86.10862480289556,-6.214e-06,-4.198648648648649e-10,0.191,,,,,
15,0.0233854275,28.382122493727866,2.6175e-06,1.768581081081081e-10,0.191,,,,,
16,0.098373978,119.39325526293477,1.0106499999999999e-05,6.828716216216215e-10,0.191,,,,,
17,0.184390215,223.78833437254914,1.20845e-05,8.165202702702703e-10,0.191,,,,,
18,0.27531009500000003,334.1348037959137,1.4166e-05,9.571621621621622e-10,0.191,,,,,
19,0.35876154000000005,435.4170805852993,1.4671e-05,9.912837837837839e-10,0.191,,,,,
20,0.44629299,541.6511257530489,1.4832e-05,1.0021621621621621e-09,0.191,,,,,
21,0.533252065,647.1904978846549,1.5295000000000002e-05,1.033445945945946e-09,0.191,,,,,
