,T,V,V_c,I,P,V_gen,Distancia,Mediciones p/s,Fecha,Periodo
0,0.23313,282.9406873382725,0.001535,1.0371621621621621e-07,0.0732,2.77,11.8,0.3,Fri Oct 25 10:21:18 2024,20.0
1,0.19772,239.96667960860137,-0.000411,-2.777027027027027e-08,0.0732,,,,,
2,0.15389,186.77156548825442,-0.000328,-2.2162162162162164e-08,0.0732,,,,,
3,0.11283,136.9383763693531,-0.000312,-2.1081081081081082e-08,0.0732,,,,,
4,0.075435,91.55171134983736,0.00127,8.581081081081081e-08,0.0732,,,,,
5,0.053391,64.7987777275027,0.000125,8.445945945945947e-09,0.0732,,,,,
6,0.036796,44.658127397542465,-3.1e-05,-2.094594594594595e-09,0.0732,,,,,
7,0.026352,31.98194269822913,0.000614,4.1486486486486486e-08,0.0732,,,,,
8,0.111158,134.90806389700037,0.000749,5.0608108108108106e-08,0.0732,,,,,
9,0.14123,171.40526438778463,0.000947,6.39864864864865e-08,0.0732,,,,,
10,0.18386,223.14396192988795,0.00088,5.9459459459459464e-08,0.073,,,,,
11,0.22895,277.86827665739065,0.000817,5.52027027027027e-08,0.0732,,,,,
12,0.27038,328.1505116212505,0.000812,5.486486486486487e-08,0.0732,,,,,
13,0.30516,370.36186604734365,0.000801,5.412162162162162e-08,0.0734,,,,,
14,0.35182,426.99160619804843,0.00077,5.2027027027027027e-08,0.0732,,,,,
15,0.3957,480.2472266758222,0.000864,5.8378378378378375e-08,0.0734,,,,,
16,0.43786,531.4153086581135,0.000989,6.682432432432432e-08,0.0734,,,,,
17,0.47265,573.3227477556921,0.31703,2.1420945945945945e-05,0.0732,,,,,
18,0.51685,626.4082857209975,0.87558,5.9160810810810815e-05,0.0732,,,,,
19,0.56225,680.9595542645465,1.4248,9.627027027027027e-05,0.0734,,,,,
20,0.59954,725.6222022334658,2.0198,0.00013647297297297297,0.0734,,,,,
21,0.63788,771.8262007083483,2.3478,0.00015863513513513514,0.0732,,,,,
22,0.68229,825.0784587748464,2.9945,0.00020233108108108107,0.0734,,,,,
23,0.72623,878.0100932815324,3.3914,0.00022914864864864864,0.0734,,,,,
24,0.76175,919.8325503975425,4.6784,0.0003161081081081081,0.0732,,,,,
25,0.80208,969.4461464980124,4.012,0.00027108108108108103,0.0732,,,,,
26,0.84241,1016.6197425984822,5.7856,0.0003909189189189189,0.0732,,,,,
27,0.90523,1091.0808128695337,7.5671,0.0005112905405405406,0.0732,,,,,
28,0.91856,1105.5061959595232,9.3199,0.000629722972972973,0.0738,,,,,
29,0.96031,1155.4665994109143,10.0301,0.0006777094594594594,0.0743,,,,,
30,1.00048,1202.8490087676184,11.4007,0.0007703175675675676,0.0743,,,,,
31,1.04431,1254.8487398879654,12.596,0.000851081081081081,0.0751,,,,,
32,1.06319,1274.912775652331,15.446,0.0010436486486486486,0.0758,,,,,
33,1.1144,1335.9176703288763,16.593,0.0011211486486486487,0.0767,,,,,
34,1.15562,1382.3600301915433,20.178,0.0013633783783783785,0.0774,,,,,
35,1.19647,1430.4113332092518,21.705,0.0014665540540540539,0.0774,,,,,
36,1.2261,1465.0172908203829,23.06,0.001558108108108108,0.0787,,,,,
37,1.2464,1467.0957339356705,45.619,0.003082364864864865,0.08,,,,,
38,1.2177,1455.1874867726779,22.695,0.001533445945945946,0.0806,,,,,
39,1.1848,1415.5498375858333,22.403,0.0015137162162162162,0.0809,,,,,
40,1.1394,1364.0133490422843,18.839,0.0012729054054054054,0.0819,,,,,
41,1.1049,1323.4448324177808,17.536,0.001184864864864865,0.0822,,,,,
42,1.0621,1273.3338784604266,15.702,0.001060945945945946,0.0816,,,,,
43,1.0297,1236.3880628478498,13.325,0.0009003378378378378,0.0813,,,,,
44,0.99247,1192.6572349078424,11.871,0.0008020945945945946,0.0809,,,,,
45,0.94963,1141.5287342645463,11.006,0.0007436486486486486,0.0803,,,,,
46,0.90873,1092.908847889411,9.9869,0.0006747905405405406,0.0796,,,,,
47,0.87745,1057.7166394831947,7.2156,0.00048754054054054056,0.0793,,,,,
48,0.832,1002.176867582219,7.5942,0.0005131216216216216,0.0793,,,,,
49,0.79507,958.5358397867728,6.4145,0.00043341216216216216,0.0784,,,,,
50,0.75113,907.1749052800866,4.4469,0.00030046621621621626,0.078,,,,,
51,0.71363,862.0826872099748,4.0266,0.00027206756756756757,0.0777,,,,,
