,T,V,V_c,I,P,V_gen,Distancia,Mediciones p/s,Fecha,Periodo
0,0.52632057,638.776569407911,0.001416,9.567567567567567e-08,0.162,1.5,13.299999999999999,0.3,Fri Oct 25 09:21:03 2024,20.0
1,0.53342039,647.3946367024322,0.000167,1.1283783783783783e-08,0.162,,,,,
2,0.55891136,678.3321015757571,0.000255,1.7229729729729732e-08,0.163,,,,,
3,0.58292378,707.4750928866137,0.000349,2.358108108108108e-08,0.163,,,,,
4,0.60349092,732.436719043961,0.000385,2.6013513513513513e-08,0.164,,,,,
5,0.54471174,630.3937442600578,30.705,0.002074662162162162,0.165,,,,,
6,0.57178587,654.1907264162595,39.767,0.0026869594594594597,0.165,,,,,
7,0.58815449,659.662782777134,54.161,0.003659527027027027,0.165,,,,,
8,0.60349092,691.1641040439611,41.273,0.0027887162162162165,0.166,,,,,
9,0.4720119,557.278336748211,15.587,0.0010531756756756757,0.169,,,,,
10,0.47669164,563.0259834499025,15.519,0.0010485810810810811,0.171,,,,,
11,0.46572808,548.9328708468956,16.306,0.0011017567567567568,0.172,,,,,
12,0.4617109,544.9643514511384,15.399,0.001040472972972973,0.172,,,,,
13,0.56712008,651.1540103712903,37.141,0.002509527027027027,0.171,,,,,
14,0.52623688,612.6874136042502,25.989,0.0017560135135135135,0.171,,,,,
15,0.50760162,590.1434107378171,25.916,0.0017510810810810811,0.169,,,,,
16,0.50213379,587.1142850930358,22.309,0.001507364864864865,0.168,,,,,
17,0.48681131,569.804894482931,21.022,0.0014204054054054052,0.168,,,,,
18,0.46182946,543.6382438282689,16.869,0.0011397972972972974,0.167,,,,,
19,0.44889916,531.5981634975498,13.216,0.0008929729729729729,0.166,,,,,
20,0.43944902,521.2648390304807,12.08,0.0008162162162162162,0.166,,,,,
21,0.41356051,493.24800491892665,8.6768,0.0005862702702702703,0.166,,,,,
22,0.3958877,475.21649599960244,5.2594,0.0003553648648648649,0.166,,,,,
23,0.38130449,458.8769331023961,3.8998,0.0002635,0.165,,,,,
24,0.36448254,442.36001101307556,0.000474,3.2027027027027026e-08,0.165,,,,,
25,0.33500926,406.5887183174629,0.001015,6.858108108108109e-08,0.165,,,,,
26,0.31506981,382.3886968925804,0.001181,7.979729729729729e-08,0.163,,,,,
27,0.2943074,357.1901199511384,0.001103,7.452702702702703e-08,0.163,,,,,
28,0.26902565,326.5065685186303,0.001025,6.925675675675677e-08,0.164,,,,,
29,0.24601055,298.57349172835205,0.001431,9.668918918918919e-08,0.165,,,,,
30,0.22486455,272.909322205403,0.001395,9.425675675675675e-08,0.165,,,,,
31,0.20299322,246.36523948960607,0.000963,6.506756756756757e-08,0.165,,,,,
32,0.17744646,215.35951812606433,0.001421,9.601351351351351e-08,0.165,,,,,
33,0.15425002,187.20674593507044,0.001436,9.702702702702703e-08,0.166,,,,,
34,0.13495221,163.78606989937478,0.000994,6.716216216216216e-08,0.166,,,,,
35,0.11132336,135.10807889668231,0.001426,9.635135135135135e-08,0.166,,,,,
36,0.08741555,106.09199130623418,0.00139,9.391891891891892e-08,0.165,,,,,
37,0.06666709,80.91045002151428,0.001207,8.155405405405406e-08,0.165,,,,,
38,0.04485156,54.43346493260571,0.0014,9.45945945945946e-08,0.164,,,,,
39,0.02632788,31.95189904660643,0.001384,9.351351351351352e-08,0.165,,,,,
40,0.02441693,29.63300580911095,0.00102,6.891891891891893e-08,0.165,,,,,
41,0.02439601,29.607214892363572,0.001421,9.601351351351351e-08,0.165,,,,,
42,0.02318946,28.14286979429707,0.001416,9.567567567567567e-08,0.165,,,,,
43,0.07549652,91.62619915281533,0.001447,9.777027027027026e-08,0.165,,,,,
44,0.09459905,114.81033326774487,0.001426,9.635135135135135e-08,0.165,,,,,
45,0.11471984,139.230364093343,0.001337,9.033783783783784e-08,0.165,,,,,
46,0.1380976,167.6031104117094,0.00141,9.527027027027027e-08,0.165,,,,,
47,0.16250059,197.22021170076977,0.001416,9.567567567567567e-08,0.166,,,,,
48,0.18626194,226.0584936006433,0.001504,1.0162162162162162e-07,0.17,,,,,
49,0.2060619,250.08914859497648,0.00141,9.527027027027027e-08,0.173,,,,,
50,0.22976049,278.85132274460784,0.001436,9.702702702702703e-08,0.174,,,,,
51,0.25536305,309.9244597350379,0.001285,8.682432432432432e-08,0.176,,,,,
52,0.27798062,337.3746294237586,0.001317,8.89864864864865e-08,0.177,,,,,
53,0.29629506,359.6023885955981,0.001192,8.054054054054054e-08,0.178,,,,,
54,0.32140943,390.0828794207842,0.001187,8.02027027027027e-08,0.178,,,,,
55,0.34480114,418.47264039587276,0.001176,7.945945945945945e-08,0.178,,,,,
56,0.3675582,446.0921625151428,0.00115,7.77027027027027e-08,0.178,,,,,
57,0.38715591,469.8771603286845,0.001249,8.439189189189189e-08,0.178,,,,,
58,0.4126957,500.8739644322009,0.001249,8.439189189189189e-08,0.178,,,,,
59,0.43756596,531.0582859697579,0.001145,7.736486486486486e-08,0.178,,,,,
60,0.4569126,554.5386313723167,0.001181,7.979729729729729e-08,0.178,,,,,
61,0.47859562,580.8545424273726,0.001239,8.371621621621622e-08,0.178,,,,,
62,0.50414238,611.8596607909144,0.001384,9.351351351351352e-08,0.179,,,,,
63,0.52881039,641.7983821476798,0.001416,9.567567567567567e-08,0.18,,,,,
64,0.54643438,663.1880088368124,0.001447,9.777027027027026e-08,0.18,,,,,
65,0.57016086,691.9840271632164,0.001478,9.986486486486485e-08,0.18,,,,,
66,0.59596568,723.3025624711096,0.001405,9.493243243243243e-08,0.179,,,,,
67,0.61789977,749.9232159371485,0.001436,9.702702702702703e-08,0.179,,,,,
68,0.6375463,773.7675739808819,0.001426,9.635135135135135e-08,0.179,,,,,
69,0.66216549,803.6471331074558,0.001369,9.25e-08,0.178,,,,,
70,0.68767041,834.6016116375026,0.001374,9.283783783783784e-08,0.178,,,,,
71,0.56840334,640.496460876321,49.356,0.003334864864864865,0.179,,,,,
72,0.5954705,670.1159837724973,52.587,0.003553175675675676,0.18,,,,,
73,0.58056648,656.665464317369,47.949,0.003239797297297297,0.18,,,,,
74,0.56229388,639.8406099790242,42.597,0.0028781756756756757,0.181,,,,,
75,0.54696443,629.021760108894,34.811,0.002352094594594595,0.182,,,,,
76,0.5292149,611.0027386459343,31.288,0.002114054054054054,0.181,,,,,
77,0.51588009,599.2007178169607,26.906,0.001817972972972973,0.181,,,,,
78,0.50110857,580.6480092590133,27.531,0.0018602027027027027,0.181,,,,,
79,0.48743202,567.801229818699,23.779,0.0016066891891891892,0.181,,,,,
80,0.48057631,561.961679811807,21.298,0.001439054054054054,0.18,,,,,
81,0.45267921,532.8148860023745,16.587,0.0011207432432432433,0.179,,,,,
82,0.43629664,516.0528989847777,13.466,0.0009098648648648649,0.179,,,,,
83,0.42084165,499.89668534082034,10.865,0.0007341216216216216,0.178,,,,,
84,0.40231101,480.20965633146733,8.062,0.0005447297297297296,0.178,,,,,
85,0.38874604,466.8273978715865,4.9809,0.0003365472972972973,0.178,,,,,
86,0.40122999,486.96118787055656,-0.00153,-1.0337837837837837e-07,0.178,,,,,
87,0.35081994,425.7789332294832,-0.000297,-2.0067567567567568e-08,0.178,,,,,
88,0.32651459,396.28040140080594,-0.00037,-2.5e-08,0.178,,,,,
