,T,V,V_c,I,P,V_gen,Distancia,Mediciones p/s,Fecha,Periodo,pendiente_rampa
0,0.12512545,151.85967511082399,0.000973,6.574324324324325e-08,0.24,1.7,1.5,0.3,Fri Oct 25 13:22:50 2024,30.0,50.0
1,0.13863462,168.2548219438164,0.001462,9.878378378378378e-08,0.24,,,,,,
2,0.15317598,185.90325487085653,0.0014,9.45945945945946e-08,0.24,,,,,,
3,0.16665028,202.25652313037946,0.001447,9.777027027027026e-08,0.24,,,,,,
4,0.18299101,222.0887563144814,0.001421,9.601351351351351e-08,0.24,,,,,,
5,0.19941542,242.02250216557283,0.001442,9.743243243243242e-08,0.24,,,,,,
6,0.21458447,260.4326858250777,0.001436,9.702702702702703e-08,0.24,,,,,,
7,0.22874224,277.61551617061076,0.001426,9.635135135135135e-08,0.24,,,,,,
8,0.24555024,298.0148546032093,0.001405,9.493243243243243e-08,0.24,,,,,,
9,0.26311147,319.32833154209976,0.001416,9.567567567567567e-08,0.24,,,,,,
10,0.27567911,334.58128434473076,0.001395,9.425675675675675e-08,0.24,,,,,,
11,0.29130846,353.55014999270685,0.001358,9.175675675675677e-08,0.24,,,,,,
12,0.30768405,373.4246286136067,0.001395,9.425675675675675e-08,0.24,,,,,,
13,0.32367606,392.8336577896711,0.001343,9.074324324324325e-08,0.24,,,,,,
14,0.33710852,409.13616221569936,0.001374,9.283783783783784e-08,0.24,,,,,,
15,0.30882086,374.80609256473434,-0.00036,-2.4324324324324327e-08,0.24,,,,,,
16,0.34999,414.579065316227,10.1923,0.0006886689189189188,0.24,,,,,,
17,0.36001203,425.1047738888724,11.83,0.0007993243243243244,0.24,,,,,,
18,0.36908556,435.6480191711311,12.299,0.0008310135135135135,0.24,,,,,,
19,0.37951908,442.6618396387278,17.948,0.0012127027027027026,0.24,,,,,,
20,0.39170313,454.11922085985185,21.278,0.0014377027027027026,0.24,,,,,,
21,0.40108353,462.90890417998196,23.873,0.0016130405405405405,0.24,,,,,,
22,0.41460665,476.6374706696964,26.557,0.0017943918918918917,0.24,,,,,,
23,0.41988618,480.37206279040834,29.23,0.001975,0.24,,,,,,
24,0.43461584,495.7889672415178,31.69,0.0021412162162162164,0.24,,,,,,
25,0.44475644,507.67428032796533,32.112,0.0021697297297297298,0.24,,,,,,
26,0.44859229,505.7327254596785,38.709,0.0026154729729729732,0.24,,,,,,
27,0.46313365,520.5410963867186,41.549,0.0028073648648648647,0.24,,,,,,
28,0.47521309,537.348515887434,39.402,0.0026622972972972976,0.24,,,,,,
29,0.48178983,536.3824891698988,48.35,0.003266891891891892,0.24,,,,,,
30,0.49043096,548.3339447771305,46.886,0.0031679729729729733,0.239,,,,,,
31,0.50626256,561.1592376058982,53.275,0.003599662162162162,0.24,,,,,,
32,0.50749003,558.318977620712,57.605,0.0038922297297297294,0.24,,,,,,
33,0.51280443,560.8708903148934,61.503,0.004155608108108108,0.24,,,,,,
34,0.53286244,578.5546381169064,68.163,0.004605608108108108,0.24,,,,,,
35,0.53277178,580.1066070532202,66.501,0.004493310810810811,0.24,,,,,,
36,0.54664361,595.4003914143007,68.043,0.0045975,0.24,,,,,,
37,0.55467797,597.9284302058148,75.266,0.005085540540540541,0.24,,,,,,
38,0.56562758,612.8796121520998,73.604,0.004973243243243243,0.24,,,,,,
39,0.57512654,616.8521878493602,81.16,0.005483783783783783,0.24,,,,,,
40,0.57894845,622.2457144610228,80.405,0.0054327702702702705,0.24,,,,,,
41,0.58545545,624.6870465965485,85.861,0.005801418918918919,0.24,,,,,,
42,0.59585409,631.2785343540043,91.89,0.006208783783783784,0.24,,,,,,
43,0.61110683,646.7992838171702,94.881,0.006410878378378378,0.24,,,,,,
44,0.61831822,652.3875109554535,98.045,0.006624662162162162,0.24,,,,,,
45,0.61680481,654.6267349561872,93.969,0.006349256756756756,0.24,,,,,,
46,0.60458588,640.8230210249222,92.943,0.006279932432432432,0.24,,,,,,
47,0.59721407,627.4210974026709,97.398,0.006580945945945946,0.24,,,,,,
48,0.59013518,637.2876811615685,78.94,0.0053337837837837835,0.24,,,,,,
49,0.58025961,621.8570262794976,82.385,0.005566554054054054,0.24,,,,,,
50,0.57398276,619.5030196382075,77.121,0.005210878378378378,0.24,,,,,,
51,0.56068282,604.8673193827034,75.615,0.005109121621621622,0.24,,,,,,
52,0.55335984,606.7926591273148,64.802,0.004378513513513514,0.24,,,,,,
