,T,V,V_c,I,P,V_gen,Distancia,Mediciones p/s,Fecha,Periodo
0,0.02459129,29.844006813129745,0.001634,1.104054054054054e-07,0.541,1.5,3.0,0.3,Fri Oct 25 11:41:17 2024,20.0
1,0.02344751,28.457425601976873,4.7e-05,3.1756756756756757e-09,0.541,,,,,
2,0.1210734,146.9427611415974,4.7e-05,3.1756756756756757e-09,0.541,,,,,
3,0.10801058,131.0897046403542,-0.000812,-5.486486486486487e-08,0.535,,,,,
4,0.08789678,106.67837134812432,-0.000937,-6.331081081081082e-08,0.533,,,,,
5,0.06405871,77.74688890461512,-0.000937,-6.331081081081082e-08,0.531,,,,,
6,0.04319865,52.42967236611854,-0.00089,-6.013513513513514e-08,0.531,,,,,
7,0.02454945,29.795916979634985,-0.001056,-7.135135135135136e-08,0.531,,,,,
8,0.02347541,28.49255691542103,-0.001223,-8.263513513513513e-08,0.531,,,,,
9,0.02351028,28.535200488890496,-0.001546,-1.0445945945945946e-07,0.531,,,,,
10,0.02311972,28.061216647358147,-0.001572,-1.0621621621621622e-07,0.531,,,,,
11,0.07221163,87.64250707325986,-0.001624,-1.0972972972972974e-07,0.531,,,,,
12,0.09284154,112.68047011752077,-0.001743,-1.1777027027027027e-07,0.531,,,,,
13,0.11762113,142.75472245471994,-0.001821,-1.2304054054054053e-07,0.531,,,,,
14,0.14076875,170.84822841552221,-0.001821,-1.2304054054054053e-07,0.531,,,,,
15,0.15911109,193.10977090080596,-0.001868,-1.262162162162162e-07,0.531,,,,,
16,0.18340249,222.5912890727611,-0.001712,-1.1567567567567568e-07,0.531,,,,,
17,0.20915151,253.8419297537658,-0.001613,-1.0898648648648649e-07,0.531,,,,,
18,0.23073689,280.0396253484388,-0.001842,-1.2445945945945946e-07,0.531,,,,,
19,0.24953953,302.8597668221937,-0.001837,-1.2412162162162163e-07,0.531,,,,,
20,0.27492589,333.67040997511026,-0.001889,-1.2763513513513514e-07,0.531,,,,,
21,0.29992169,364.0069862864944,-0.001884,-1.272972972972973e-07,0.531,,,,,
22,0.32108861,389.6964617261908,-0.001764,-1.1918918918918918e-07,0.531,,,,,
23,0.34233922,415.48758796954826,-0.001723,-1.1641891891891891e-07,0.531,,,,,
24,0.36659575,444.926946568034,-0.001728,-1.1675675675675675e-07,0.531,,,,,
25,0.39175195,475.4582050900434,-0.001733,-1.1709459459459459e-07,0.531,,,,,
26,0.41116833,499.02306663954107,-0.001572,-1.0621621621621622e-07,0.531,,,,,
27,0.43420436,526.9809884832382,-0.001421,-9.601351351351351e-08,0.531,,,,,
28,0.37609471,415.6237942652945,40.83,0.002758783783783784,0.531,,,,,
29,0.38920634,424.0999488600578,48.267,0.0032612837837837838,0.529,,,,,
30,0.40173214,433.3511008291941,54.218,0.0036633783783783787,0.529,,,,,
31,0.40970374,441.37396987046617,55.87,0.0037749999999999997,0.525,,,,,
32,0.42494253,449.5917886769099,66.147,0.0044693918918918924,0.522,,,,,
33,0.43569686,456.5319657024287,72.259,0.004882364864864865,0.522,,,,,
34,0.44562125,461.28087181469107,79.555,0.005375337837837838,0.52,,,,,
35,0.45763095,474.31965016846755,81.092,0.005479189189189189,0.522,,,,,
36,0.46792498,477.88017620551506,90.025,0.006082770270270271,0.52,,,,,
37,0.47594539,485.5352843403072,92.104,0.006223243243243243,0.52,,,,,
38,0.48678341,491.1950331694868,99.598,0.006729594594594594,0.52,,,,,
39,0.4962475,492.7442882932779,109.535,0.0074010135135135135,0.52,,,,,
40,0.4900683,488.4227962490422,106.357,0.0071862837837837834,0.52,,,,,
41,0.48165732,485.1876661360462,99.384,0.006715135135135135,0.52,,,,,
42,0.47117499,478.30260657492954,93.547,0.0063207432432432435,0.522,,,,,
43,0.45761003,468.37426025172033,87.012,0.005879189189189189,0.522,,,,,
44,0.44678595,462.77742994259125,79.472,0.005369729729729729,0.522,,,,,
45,0.43798442,457.8023021247343,73.765,0.004984121621621622,0.522,,,,,
46,0.43057774,454.4250579290134,68.153,0.004604932432432433,0.522,,,,,
47,0.41680355,445.6547760283159,60.206,0.0040679729729729735,0.522,,,,,
48,0.40923646,446.77884748529823,49.898,0.003371486486486487,0.52,,,,,
49,0.396348,432.0275469880737,49.007,0.0033112837837837835,0.52,,,,,
50,0.38356416,419.07122034792917,46.448,0.0031383783783783784,0.52,,,,,
51,0.36854854,410.93125563902424,36.364,0.002457027027027027,0.522,,,,,
52,0.36075828,406.9224729984677,30.918,0.002089054054054054,0.522,,,,,
53,0.34939021,397.68441989720634,26.359,0.0017810135135135137,0.522,,,,,
54,0.33283329,383.1658300122624,20.783,0.0014042567567567569,0.522,,,,,
55,0.33026675,385.67390472885796,15.16,0.0010243243243243244,0.522,,,,,
56,0.33160581,402.45940586077705,-0.000328,-2.2162162162162164e-08,0.522,,,,,
57,0.30475486,369.8700409387857,0.000921,6.222972972972973e-08,0.522,,,,,
58,0.27998921,339.81269112163716,0.001015,6.858108108108109e-08,0.522,,,,,
59,0.25782497,312.9126661613625,0.00103,6.95945945945946e-08,0.522,,,,,
60,0.23861084,289.5929617926563,0.001176,7.945945945945945e-08,0.522,,,,,
61,0.21233178,257.6991429762414,0.000963,6.506756756756757e-08,0.52,,,,,
62,0.18897493,229.35177443795087,0.00089,6.013513513513514e-08,0.52,,,,,
63,0.16804514,203.94997588918687,0.00089,6.013513513513514e-08,0.52,,,,,
64,0.14691309,178.30269602295988,0.000895,6.047297297297297e-08,0.522,,,,,
65,0.12087115,146.69640696080592,0.000937,6.331081081081082e-08,0.522,,,,,
66,0.09917418,120.36351224902783,0.000932,6.297297297297298e-08,0.522,,,,,
67,0.07918591,96.10442159395373,0.000916,6.189189189189189e-08,0.522,,,,,
68,0.05612198,68.11219043681243,0.001213,8.195945945945947e-08,0.522,,,,,
69,0.03436922,41.71136223481749,0.001431,9.668918918918919e-08,0.514,,,,,
70,0.02558164,31.046363073682688,0.001233,8.331081081081081e-08,0.512,,,,,
71,0.02540031,30.826225809638593,0.001296,8.756756756756757e-08,0.51,,,,,
72,0.02509344,30.453813771767262,0.00127,8.581081081081081e-08,0.51,,,,,
73,0.06766441,82.1206505420925,0.001421,9.601351351351351e-08,0.51,,,,,
74,0.08268699,100.3531873743513,0.001296,8.756756756756757e-08,0.51,,,,,
75,0.10540918,127.93040992015179,0.001249,8.439189189189189e-08,0.51,,,,,
76,0.12911474,156.70079332980845,0.001525,1.0304054054054055e-07,0.51,,,,,
77,0.15367813,186.51260982949404,0.001488,1.0054054054054053e-07,0.51,,,,,
78,0.17478926,212.13455177897362,0.001431,9.668918918918919e-08,0.51,,,,,
79,0.19470779,236.30886628710877,0.001582,1.068918918918919e-07,0.512,,,,,
80,0.22011507,267.14518535677263,0.001244,8.405405405405406e-08,0.51,,,,,
81,0.24531312,297.7270178489483,0.001457,9.844594594594594e-08,0.51,,,,,
82,0.26530836,321.9946567640477,0.001384,9.351351351351352e-08,0.51,,,,,
83,0.28714482,348.4967829063752,0.001452,9.81081081081081e-08,0.51,,,,,
84,0.31192441,378.57129524357424,0.001114,7.527027027027027e-08,0.51,,,,,
85,0.3360554,407.8582800682327,0.001119,7.56081081081081e-08,0.51,,,,,
86,0.35430708,430.0099524898301,0.000911,6.155405405405405e-08,0.51,,,,,
87,0.37854965,459.4322902949223,0.000984,6.648648648648648e-08,0.51,,,,,
88,0.40319674,489.34574273494036,0.000895,6.047297297297297e-08,0.51,,,,,
89,0.42026279,482.7621419752187,27.297,0.0018443918918918919,0.51,,,,,
90,0.36951797,407.78182098282974,40.69,0.0027493243243243244,0.51,,,,,
91,0.38537747,423.8989751250416,43.821,0.0029608783783783782,0.51,,,,,
92,0.39913771,434.1423263690169,50.278,0.003397162162162162,0.51,,,,,
93,0.40745802,437.7264132816552,56.792,0.0038372972972972974,0.51,,,,,
94,0.41748005,443.09882185430075,63.583,0.004296148648648648,0.51,,,,,
95,0.43437174,461.0307110905602,66.152,0.00446972972972973,0.51,,,,,
