,T,V,V_c,I,P,V_gen,Distancia,Mediciones p/s,Fecha,Periodo
0,0.67512369,819.3738407516191,0.001603,1.0831081081081081e-07,0.599,1.5,13.299999999999999,0.3,Fri Oct 25 09:35:49 2024,20.0
1,0.69652774,845.3529350822479,-9.9e-05,-6.689189189189189e-09,0.599,,,,,
2,0.70052399,850.2031614245861,-0.000208,-1.4054054054054053e-08,0.601,,,,,
3,0.68405773,830.2186706033286,-0.000276,-1.8648648648648647e-08,0.599,,,,,
4,0.65832266,798.9849815790458,-0.000396,-2.6756756756756756e-08,0.599,,,,,
5,0.63304789,768.3098695432345,-0.000442,-2.986486486486486e-08,0.599,,,,,
6,0.61204138,742.8149794508348,-0.000463,-3.1283783783783784e-08,0.601,,,,,
7,0.59206706,718.5728294524829,-0.000489,-3.304054054054054e-08,0.601,,,,,
8,0.56658306,687.6438658391833,-0.000619,-4.1824324324324325e-08,0.601,,,,,
9,0.5426892,658.6448759054572,-0.000822,-5.554054054054054e-08,0.601,,,,,
10,0.52187796,633.3870775971521,-0.000942,-6.364864864864866e-08,0.599,,,,,
11,0.50029258,607.1898450024792,-0.001176,-7.945945945945945e-08,0.601,,,,,
12,0.47429946,575.6428651705168,-0.001192,-8.054054054054054e-08,0.601,,,,,
13,0.45186322,548.4127427458402,-0.001197,-8.087837837837838e-08,0.599,,,,,
14,0.4319168,524.2045790609324,-0.001348,-9.108108108108109e-08,0.599,,,,,
15,0.40782068,494.96010780974336,-0.001546,-1.0445945945945946e-07,0.599,,,,,
16,0.38263658,464.39511797428986,-0.001671,-1.129054054054054e-07,0.599,,,,,
17,0.3612395,438.4262369036863,-0.001723,-1.1641891891891891e-07,0.601,,,,,
18,0.34033761,413.0582366683665,-0.00166,-1.1216216216216217e-07,0.601,,,,,
19,0.3158858,383.38186314911457,-0.001645,-1.1114864864864865e-07,0.601,,,,,
20,0.29243132,354.91595128711236,-0.001665,-1.1250000000000001e-07,0.601,,,,,
21,0.27081107,328.67617511897,-0.001676,-1.1324324324324324e-07,0.601,,,,,
22,0.2496302,302.9696540225515,-0.001681,-1.1358108108108108e-07,0.601,,,,,
23,0.22422989,272.14188721291293,-0.001436,-9.702702702702703e-08,0.601,,,,,
24,0.20109622,244.06532290883266,-0.001447,-9.777027027027026e-08,0.601,,,,,
25,0.18105216,219.7386457635417,-0.001587,-1.0722972972972973e-07,0.599,,,,,
26,0.15624466,189.63055697622696,-0.001546,-1.0445945945945946e-07,0.601,,,,,
27,0.13279018,161.16468211422477,-0.001603,-1.0831081081081081e-07,0.601,,,,,
28,0.10969836,133.1387477803108,-0.001452,-9.81081081081081e-08,0.601,,,,,
29,0.08974496,108.92201869870618,-0.001509,-1.0195945945945946e-07,0.601,,,,,
30,0.0667996,81.07402005536682,-0.00154,-1.0405405405405405e-07,0.601,,,,,
31,0.04425874,53.716872773610405,-0.001494,-1.0094594594594596e-07,0.601,,,,,
