,T,V,V_c,I,P,V_gen,Distancia,Mediciones p/s,Fecha,Periodo
0,0.46667658,566.3900341372823,0.0,0.0,0.51,2.77,4.5,0.3,Fri Oct 25 10:45:50 2024,20.0
1,0.45720552,554.8967097534659,-0.00139,-9.391891891891892e-08,0.51,,,,,
2,0.44387768,538.7211481845176,-0.00139,-9.391891891891892e-08,0.51,,,,,
3,0.42787172,519.2952403517311,-0.00139,-9.391891891891892e-08,0.51,,,,,
4,0.41058947,498.3203412739393,-0.00139,-9.391891891891892e-08,0.51,,,,,
5,0.39542042,479.9101636144344,-0.00139,-9.391891891891892e-08,0.51,,,,,
6,0.38408723,466.155443223314,-0.00139,-9.391891891891892e-08,0.512,,,,,
7,0.36748148,446.0015899715071,-0.00139,-9.391891891891892e-08,0.51,,,,,
8,0.35110588,426.1270622139357,-0.00139,-9.391891891891892e-08,0.51,,,,,
9,0.33599961,407.7930785780159,-0.00139,-9.391891891891892e-08,0.51,,,,,
10,0.32295771,391.96455299352004,-0.00139,-9.391891891891892e-08,0.51,,,,,
11,0.3058289,371.17587900299964,-0.00139,-9.391891891891892e-08,0.51,,,,,
12,0.29122477,353.4513261890459,-0.00139,-9.391891891891892e-08,0.51,,,,,
13,0.27664156,335.7514682918395,-0.000695,-4.695945945945946e-08,0.51,,,,,
14,0.26233035,318.38311785903505,-0.00139,-9.391891891891892e-08,0.51,,,,,
15,0.24625465,298.8718738793097,-0.000695,-4.695945945945946e-08,0.51,,,,,
16,0.23017197,279.3528535028876,-0.000695,-4.695945945945946e-08,0.51,,,,,
17,0.21656516,262.83871520951215,-0.000695,-4.695945945945946e-08,0.51,,,,,
18,0.20096371,243.90374787498013,-0.000695,-4.695945945945946e-08,0.51,,,,,
19,0.18481129,224.3007813516191,-0.00139,-9.391891891891892e-08,0.51,,,,,
20,0.16960737,205.84758811864475,-0.000695,-4.695945945945946e-08,0.51,,,,,
21,0.15579831,189.08798564447778,-0.000695,-4.695945945945946e-08,0.51,,,,,
22,0.14136156,171.566576437846,-0.000695,-4.695945945945946e-08,0.51,,,,,
23,0.12502781,151.7435356504409,-0.00139,-9.391891891891892e-08,0.51,,,,,
24,0.10916134,132.48692224820383,-0.00139,-9.391891891891892e-08,0.51,,,,,
25,0.09625196,116.81853683423202,-0.000695,-4.695945945945946e-08,0.51,,,,,
26,0.08032272,97.48574154508132,-0.000695,-4.695945945945946e-08,0.51,,,,,
27,0.06444927,78.22065674614747,-0.000695,-4.695945945945946e-08,0.51,,,,,
28,0.05014503,60.860070573368276,-0.000695,-4.695945945945946e-08,0.51,,,,,
29,0.03455055,41.93356249886158,-0.000695,-4.695945945945946e-08,0.51,,,,,
30,0.01990458,24.158229851413083,-0.000695,-4.695945945945946e-08,0.51,,,,,
31,0.01679405,20.383776775876402,-0.00139,-9.391891891891892e-08,0.51,,,,,
32,0.02379622,28.88208047334297,-0.00139,-9.391891891891892e-08,0.51,,,,,
33,0.0242356,29.414646545066862,-0.000695,-4.695945945945946e-08,0.51,,,,,
34,0.0201417,24.446014605674016,-0.000695,-4.695945945945946e-08,0.507,,,,,
35,0.06601848,80.12515537230213,-0.000695,-4.695945945945946e-08,0.503,,,,,
36,0.07136077,86.60961224325625,-0.00139,-9.391891891891892e-08,0.503,,,,,
37,0.08703894,105.63699712142392,-0.000695,-4.695945945945946e-08,0.501,,,,,
38,0.10339361,125.48612282557643,-0.000695,-4.695945945945946e-08,0.501,,,,,
39,0.11769088,142.83894473833035,-0.00139,-9.391891891891892e-08,0.501,,,,,
40,0.13060026,158.50524515230214,0.0,0.0,0.501,,,,,
41,0.14708047,178.50812463028188,-0.00139,-9.391891891891892e-08,0.501,,,,,
42,0.1633096,198.20419156060717,-0.000695,-4.695945945945946e-08,0.501,,,,,
43,0.17778122,215.76792134070834,-0.000695,-4.695945945945946e-08,0.501,,,,,
44,0.19158331,232.51975955485003,-0.00139,-9.391891891891892e-08,0.501,,,,,
45,0.20811932,252.58827665971808,-0.000695,-4.695945945945946e-08,0.501,,,,,
