,T,V,V_c,I,P,V_gen,Distancia,Mediciones p/s,Fecha,Periodo,pendiente_rampa
0,0.08330073,101.09864145009398,0.000718,4.851351351351351e-08,0.442,1.7,2.5,0.3,Fri Oct 25 13:17:50 2024,30.0,50.0
1,0.09579166,116.25936284576075,-0.000172,-1.1621621621621623e-08,0.442,,,,,,
2,0.11146285,135.27883532723166,-3.6e-05,-2.4324324324324324e-09,0.442,,,,,,
3,0.12518125,151.9284587377123,-8.8e-05,-5.945945945945946e-09,0.442,,,,,,
4,0.14073388,170.8033528420528,0.000734,4.9594594594594595e-08,0.442,,,,,,
5,0.15689327,190.4154736254391,0.000734,4.9594594594594595e-08,0.442,,,,,,
6,0.17327584,210.29854964303576,0.000645,4.358108108108108e-08,0.442,,,,,,
7,0.18698726,226.93941465681965,0.00088,5.9459459459459464e-08,0.442,,,,,,
8,0.20307692,246.46704742993853,0.000739,4.993243243243243e-08,0.442,,,,,,
9,0.22104962,268.2795429904373,0.001119,7.56081081081081e-08,0.442,,,,,,
10,0.23480289,284.97125797438736,0.001296,8.756756756756757e-08,0.442,,,,,,
11,0.24880026,301.9594531092953,0.001249,8.439189189189189e-08,0.442,,,,,,
12,0.26558733,322.3332534884749,0.001364,9.216216216216216e-08,0.442,,,,,,
13,0.28246508,342.81728720468374,0.001301,8.79054054054054e-08,0.442,,,,,,
14,0.29583476,359.0437326071268,0.001197,8.087837837837838e-08,0.442,,,,,,
15,0.31128975,377.80078525108416,0.001358,9.175675675675677e-08,0.442,,,,,,
16,0.327219,397.13350367690634,0.001447,9.777027027027026e-08,0.442,,,,,,
17,0.34285532,416.1108025849079,0.001436,9.702702702702703e-08,0.442,,,,,,
18,0.35632962,432.46408084443084,0.001473,9.952702702702702e-08,0.442,,,,,,
19,0.32311115,374.2743880807915,17.875,0.0012077702702702703,0.442,,,,,,
20,0.34722819,405.05044724872783,16.369,0.0011060135135135135,0.442,,,,,,
21,0.35818477,409.97408845503793,24.743,0.0016718243243243243,0.442,,,,,,
22,0.36294123,412.458847700365,28.031,0.0018939864864864864,0.442,,,,,,
23,0.37239834,420.8976314274594,31.07,0.0020993243243243244,0.442,,,,,,
24,0.38260171,428.4611264008204,35.89,0.002425,0.442,,,,,,
25,0.39180077,435.962723320235,39.553,0.0026725,0.442,,,,,,
26,0.39743599,444.1250047090098,38.23,0.0025831081081081077,0.442,,,,,,
27,0.41349774,456.48962303201296,45.359,0.003064797297297297,0.442,,,,,,
28,0.41430676,453.61050402852186,49.22,0.0033256756756756757,0.442,,,,,,
29,0.42785777,464.1679196950091,55.109,0.003723581081081081,0.442,,,,,,
30,0.43609439,470.55843480398624,58.715,0.00396722972972973,0.442,,,,,,
31,0.43797047,468.34837146801226,63.202,0.004270405405405405,0.442,,,,,,
32,0.45198179,481.7364502596422,66.819,0.004514797297297297,0.442,,,,,,
33,0.4554201,485.81541415312614,66.913,0.004521148648648649,0.442,,,,,,
34,0.46072055,483.9313961905855,75.23,0.005083108108108109,0.442,,,,,,
35,0.47173293,499.3917600237839,73.135,0.0049415540540540545,0.444,,,,,,
36,0.47628713,496.378042951648,81.676,0.005518648648648649,0.442,,,,,,
37,0.48492128,500.3900271621829,88.143,0.005955608108108108,0.442,,,,,,
38,0.49495726,510.4333663915504,90.28,0.0061,0.444,,,,,,
39,0.49762144,509.1387941353379,94.808,0.006405945945945946,0.442,,,,,,
40,0.51023092,514.3995057714637,104.851,0.007084527027027027,0.442,,,,,,
41,0.51495251,525.0449444433212,99.936,0.006752432432432433,0.442,,,,,,
42,0.52172453,524.0919226465521,109.108,0.007372162162162163,0.444,,,,,,
43,0.5304354,532.1570194007228,111.615,0.0075415540540540536,0.442,,,,,,
44,0.53651696,533.0610089845753,118.092,0.00797918918918919,0.442,,,,,,
45,0.5426613,537.450192592013,121.16,0.008186486486486486,0.442,,,,,,
46,0.55080028,547.3282052406072,121.16,0.008186486486486486,0.442,,,,,,
47,0.5563518,546.0859026890495,129.14,0.008725675675675676,0.442,,,,,,
48,0.55057013,545.6388797463716,122.57,0.008281756756756756,0.442,,,,,,
49,0.54698535,545.5181500256415,118.34,0.007995945945945946,0.438,,,,,,
50,0.53662855,533.8884421016805,117.4,0.007932432432432433,0.435,,,,,,
51,0.52688549,528.4836102534622,110.98,0.007498648648648649,0.434,,,,,,
52,0.52115264,524.1858385409757,108.32,0.007318918918918918,0.434,,,,,,
53,0.51676582,522.7476992204337,104.434,0.007056351351351351,0.435,,,,,,
54,0.50628348,514.6536275226456,99.806,0.006743648648648648,0.437,,,,,,
55,0.49805384,509.293583810365,95.178,0.006430945945945946,0.435,,,,,,
56,0.49655437,511.8087263311492,90.843,0.006138040540540541,0.435,,,,,,
57,0.48657419,503.9801097286701,86.559,0.0058485810810810805,0.434,,,,,,
58,0.47616857,495.18615057451746,82.724,0.00558945945945946,0.434,,,,,,
59,0.47270933,496.0377846276147,77.674,0.005248243243243244,0.434,,,,,,
60,0.46724847,492.61511824285867,74.469,0.005031689189189188,0.434,,,,,,
61,0.45351613,479.62262831232744,70.795,0.0047834459459459465,0.434,,,,,,
62,0.44537715,475.2786156637332,65.261,0.004409527027027026,0.434,,,,,,
63,0.43877251,471.4317810678244,61.092,0.004127837837837838,0.434,,,,,,
64,0.43727304,471.9729235886086,58.731,0.003968310810810811,0.434,,,,,,
65,0.43124727,468.83364449497293,54.557,0.003686283783783784,0.434,,,,,,
66,0.41605033,449.63961765869533,55.307,0.0037369594594594594,0.434,,,,,,
67,0.40656531,447.6589604814854,45.776,0.0030929729729729733,0.434,,,,,,
68,0.40816242,453.6573204210842,41.716,0.0028186486486486487,0.434,,,,,,
69,0.39380239,440.1480237580882,37.797,0.002553851351351351,0.434,,,,,,
70,0.38444291,432.0817303547055,34.504,0.0023313513513513514,0.434,,,,,,
