,T,V,V_c,I,P,V_gen,Distancia,Mediciones p/s,Fecha,Periodo,pendiente_rampa
0,0.64884462,738.1203997985326,49.361,0.0033352027027027027,0.105,1.8,4.0,0.3,Fri Oct 25 13:53:43 2024,30.0,50.0
1,0.86546558,985.783142634933,64.604,0.004365135135135135,0.106,,,,,,
2,0.82482648,940.8588020188506,60.206,0.0040679729729729735,0.107,,,,,,
3,0.82942253,950.2098769168811,56.433,0.0038130405405405405,0.107,,,,,,
4,0.82739302,929.6277273022553,74.552,0.0050372972972972975,0.107,,,,,,
5,0.82840429,949.8340724795555,55.573,0.0037549324324324326,0.107,,,,,,
6,0.82698153,944.1413154073039,59.539,0.004022905405405406,0.108,,,,,,
7,0.46113901,558.1954673455621,1.4738,9.958108108108108e-05,0.108,,,,,,
8,0.20897715,253.62720774974704,0.001494,1.0094594594594596e-07,0.107,,,,,,
9,0.11852082,143.84378965158655,0.001036,7e-08,0.107,,,,,,
10,0.067504,81.9263101947958,0.001077,7.277027027027028e-08,0.106,,,,,,
11,0.03842825,46.63796960074087,0.001135,7.668918918918918e-08,0.106,,,,,,
12,0.02178066,26.4335395154391,0.000932,6.297297297297298e-08,0.106,,,,,,
13,0.01244211,15.099773165475245,0.000807,5.452702702702703e-08,0.106,,,,,,
14,0.00706494,8.573574584380196,0.000911,6.155405405405405e-08,0.105,,,,,,
15,0.00391954,4.756537935374051,0.000479,3.2364864864864865e-08,0.104,,,,,,
16,0.00217597,2.6402323052005783,0.000671,4.533783783783784e-08,0.104,,,,,,
17,0.00111588,1.3537138977087098,0.000593,4.0067567567567565e-08,0.104,,,,,,
18,0.00053702,0.6513315321069751,0.000432,2.9189189189189188e-08,0.104,,,,,,
19,0.00013251,0.16029703385254787,0.000526,3.554054054054054e-08,0.104,,,,,,
20,-0.00010461,-0.12743572040838452,0.000474,3.2027027027027026e-08,0.104,,,,,,
21,-0.00023015,-0.27960149423563424,0.000276,1.8648648648648647e-08,0.104,,,,,,
22,-0.00035569,-0.432152268062884,0.000463,3.1283783783783784e-08,0.104,,,,,,
23,-0.00049517,-0.60135156194073,0.00038,2.5675675675675677e-08,0.104,,,,,,
24,-0.0005161,-0.6263736153595952,0.0,0.0,0.104,,,,,,
25,-0.00056492,-0.6859478455511384,0.000323,2.1824324324324324e-08,0.104,,,,,,
26,-0.00064163,-0.7790012525153596,0.000276,1.8648648648648647e-08,0.104,,,,,,
27,-0.00064861,-0.7861716492121431,-0.001025,-6.925675675675677e-08,0.104,,,,,,
28,-0.0006765,-0.821258825984821,0.000213,1.4391891891891892e-08,0.104,,,,,,
29,-0.00071835,-0.8719887961510661,0.000151,1.0202702702702703e-08,0.104,,,,,,
30,-0.00075322,-0.9131593696205276,-0.000999,-6.75e-08,0.104,,,,,,
31,-0.00076717,-0.9303710263426094,-0.000718,-4.851351351351351e-08,0.104,,,,,,
32,-0.00079507,-0.9639773397867727,-0.000973,-6.574324324324325e-08,0.104,,,,,,
33,-0.00080204,-0.9720455998120708,-0.001364,-9.216216216216216e-08,0.104,,,,,,
34,-0.00080902,-0.9809649965088544,-0.000916,-6.189189189189189e-08,0.103,,,,,,
35,-0.00082994,-1.0063239132562343,-0.000947,-6.39864864864865e-08,0.103,,,,,,
