,T,V,V_c,I,P,V_gen,Distancia,Mediciones p/s,Fecha,Periodo,pendiente_rampa
0,0.15846946,192.32871464829057,0.000463,3.1283783783783784e-08,0.1,2.7,1.5,0.3,Fri Oct 25 13:35:52 2024,30.0,50.0
1,0.18920508,229.63105293218646,0.000937,6.331081081081082e-08,0.1,,,,,,
2,0.21514938,261.1189745339573,0.00076,5.1351351351351355e-08,0.1,,,,,,
3,0.23705558,287.7062158232237,0.000354,2.3918918918918917e-08,0.1,,,,,,
4,0.26071232,316.4173950026888,0.000583,3.939189189189189e-08,0.1,,,,,,
5,0.28782132,349.3189167323599,0.000364,2.4594594594594596e-08,0.101,,,,,,
6,0.31240564,379.1561912854644,0.000271,1.8310810810810807e-08,0.1,,,,,,
7,0.33337031,404.6001615443693,0.000432,2.9189189189189188e-08,0.101,,,,,,
8,0.35969819,436.5534705909758,0.000406,2.7432432432432434e-08,0.1,,,,,,
9,0.38526588,467.5843700079364,0.000172,1.1621621621621623e-08,0.101,,,,,,
10,0.41008035,497.70068505527644,0.000364,2.4594594594594596e-08,0.1,,,,,,
11,0.43117753,523.305696348034,0.000307,2.0743243243243243e-08,0.1,,,,,,
12,0.45891421,556.9695276734984,-0.000427,-2.8851351351351352e-08,0.101,,,,,,
13,0.48424478,587.711762336198,0.000219,1.4797297297297299e-08,0.101,,,,,,
14,0.5069042,615.212776995085,0.000198,1.3378378378378378e-08,0.101,,,,,,
15,0.52885921,641.8598243778714,-0.000775,-5.2364864864864866e-08,0.1,,,,,,
16,0.55600309,674.8025438176835,0.000141,9.527027027027028e-09,0.1,,,,,,
17,0.58295168,707.5095582000578,-0.000255,-1.7229729729729732e-08,0.101,,,,,,
18,0.60424414,733.3520954135817,-0.000833,-5.628378378378378e-08,0.101,,,,,,
19,0.62776837,761.902581559194,-0.000734,-4.9594594594594595e-08,0.1,,,,,,
20,0.6555469,795.6163978548249,-0.000661,-4.4662162162162167e-08,0.1,,,,,,
21,0.68025675,825.6063470450849,-0.001077,-7.277027027027028e-08,0.101,,,,,,
22,0.70015436,849.7549806364727,-0.000635,-4.2905405405405407e-08,0.1,,,,,,
23,0.72726336,882.6563513661438,-0.000703,-4.7499999999999995e-08,0.101,,,,,,
24,0.75412827,915.2619720815288,-0.001265,-8.547297297297297e-08,0.1,,,,,,
25,0.77789659,944.1084682414275,-0.000932,-6.297297297297298e-08,0.101,,,,,,
26,0.79881244,969.4933422701409,-0.000926,-6.256756756756757e-08,0.101,,,,,,
27,0.70597788,856.8143285493169,0.007832,5.291891891891893e-07,0.101,,,,,,
28,0.75213362,871.1548659037007,41.685,0.0028165540540540544,0.101,,,,,,
29,0.77888694,891.3624915019805,53.947,0.0036450675675675677,0.1,,,,,,
30,0.80320623,921.2530148507083,53.572,0.00361972972972973,0.101,,,,,,
31,0.81034092,928.620153718699,54.864,0.0037070270270270268,0.102,,,,,,
