,T,V,V_c,I,P,V_gen,Distancia,Mediciones p/s,Fecha,Periodo
0,0.43891897,467.831534758399,64.87,0.0043831081081081085,0.501,1.5,4.8,0.3,Fri Oct 25 11:04:30 2024,20.0
1,0.48151086,483.0819124454716,101.312,0.006845405405405405,0.501,,,,,
2,0.49146315,503.7176798711782,92.755,0.00626722972972973,0.501,,,,,
3,0.48584886,503.70980053582224,85.949,0.005807364864864864,0.501,,,,,
4,0.47331609,489.2021893066606,85.246,0.005759864864864865,0.501,,,,,
5,0.45910252,478.4296463342393,78.768,0.005322162162162162,0.501,,,,,
6,0.44797158,478.74039012391034,64.948,0.004388378378378378,0.501,,,,,
7,0.44421244,480.3070453991615,58.819,0.003974256756756757,0.501,,,,,
8,0.42919683,461.5200928269281,59.382,0.004012297297297297,0.501,,,,,
9,0.42048596,460.33299607275745,49.997,0.0033781756756756758,0.501,,,,,
10,0.40372678,442.3429298703506,47.647,0.0032193918918918918,0.501,,,,,
11,0.39256097,434.7013530865522,41.737,0.0028200675675675675,0.501,,,,,
12,0.38087906,427.7304026873943,34.53,0.0023331081081081084,0.501,,,,,
13,0.36988063,418.06696951091794,30.845,0.0020841216216216213,0.501,,,,,
14,0.36298307,417.7256275338598,22.815,0.001541554054054054,0.501,,,,,
15,0.3610233,421.60111906617277,16.561,0.0011189864864864865,0.501,,,,,
16,0.39431849,478.5730523734478,-0.001655,-1.1182432432432433e-07,0.501,,,,,
17,0.33634832,408.216649449382,-0.001743,-1.1777027027027027e-07,0.501,,,,,
18,0.31085735,377.27913857605705,-0.001785,-1.206081081081081e-07,0.499,,,,,
19,0.29029719,352.3259318154066,-0.001769,-1.1952702702702702e-07,0.501,,,,,
20,0.26841192,325.76456157955914,-0.001832,-1.2378378378378378e-07,0.499,,,,,
21,0.24439252,296.61298387200577,-0.001811,-1.2236486486486485e-07,0.499,,,,,
22,0.21976635,266.7250313487351,-0.001832,-1.2378378378378378e-07,0.501,,,,,
23,0.20013377,242.8975929617239,-0.001811,-1.2236486486486485e-07,0.501,,,,,
24,0.17687457,214.6686870204879,-0.001832,-1.2378378378378378e-07,0.499,,,,,
25,0.15296676,185.65253243003977,-0.001801,-1.216891891891892e-07,0.499,,,,,
26,0.12904499,156.61947104619804,-0.001806,-1.2202702702702702e-07,0.501,,,,,
27,0.10976113,133.21532566722442,-0.001848,-1.2486486486486488e-07,0.501,,,,,
28,0.08495363,103.10723087990965,-0.001801,-1.216891891891892e-07,0.501,,,,,
29,0.06345195,77.01138922556919,-0.001842,-1.2445945945945946e-07,0.501,,,,,
30,0.04261282,51.7196167404915,-0.001837,-1.2412162162162163e-07,0.501,,,,,
31,0.02475867,30.05062142045175,-0.001837,-1.2412162162162163e-07,0.501,,,,,
32,0.02392873,29.043329507195516,-0.001816,-1.227027027027027e-07,0.501,,,,,
33,0.02392873,29.043376507195518,-0.001863,-1.2587837837837838e-07,0.501,,,,,
34,0.02782735,33.774977525822194,-0.001837,-1.2412162162162163e-07,0.501,,,,,
35,0.07265799,88.18445254168053,-0.001837,-1.2412162162162163e-07,0.501,,,,,
36,0.09633565,116.92127163789301,-0.001858,-1.2554054054054053e-07,0.501,,,,,
37,0.11891137,144.3206603564474,-0.001837,-1.2412162162162163e-07,0.501,,,,,
38,0.13996671,169.87480881571017,-0.001811,-1.2236486486486485e-07,0.501,,,,,
39,0.16188685,196.4785836250271,-0.001832,-1.2378378378378378e-07,0.501,,,,,
40,0.18699424,226.9506140535165,-0.001848,-1.2486486486486488e-07,0.501,,,,,
41,0.21014883,255.05255827434408,-0.001827,-1.2344594594594595e-07,0.501,,,,,
42,0.23029053,279.49787788001805,-0.001827,-1.2344594594594595e-07,0.501,,,,,
43,0.25298482,307.0411971123744,-0.001832,-1.2378378378378378e-07,0.501,,,,,
44,0.2781759,337.61465834452474,-0.001707,-1.1533783783783784e-07,0.501,,,,,
45,0.30130957,365.69131164860505,-0.001785,-1.206081081081081e-07,0.501,,,,,
46,0.32042605,388.8923654202566,-0.001795,-1.2128378378378378e-07,0.501,,,,,
47,0.34423622,417.7899555503216,-0.001764,-1.1918918918918918e-07,0.501,,,,,
48,0.36947612,448.4226840126635,-0.001655,-1.1182432432432433e-07,0.499,,,,,
49,0.39187052,475.6021306038453,-0.001754,-1.185135135135135e-07,0.499,,,,,
50,0.41024076,497.89743540257314,-0.001702,-1.15e-07,0.501,,,,,
51,0.43560619,528.6826085020708,-0.001686,-1.1391891891891892e-07,0.501,,,,,
52,0.46145285,560.0519186434586,-0.001754,-1.185135135135135e-07,0.501,,,,,
53,0.4818526,584.8102740568124,-0.001603,-1.0831081081081081e-07,0.501,,,,,
54,0.50276845,610.1951590855259,-0.001608,-1.0864864864864865e-07,0.501,,,,,
55,0.3968641,432.27392060343334,49.387,0.0033369594594594596,0.501,,,,,
56,0.42952462,458.71292078154687,62.587,0.004228851351351351,0.501,,,,,
57,0.44169473,466.29638348262006,69.774,0.00471445945945946,0.501,,,,,
58,0.45336269,483.068403225056,67.163,0.00453804054054054,0.501,,,,,
59,0.4674577,485.88105382034695,81.457,0.0055038513513513505,0.501,,,,,
60,0.47802373,491.3146973217962,88.847,0.0060031756756756755,0.499,,,,,
61,0.48317074,491.25045427198404,95.158,0.006429594594594594,0.499,,,,,
62,0.49754472,504.65168159170224,99.202,0.006702837837837838,0.499,,,,,
63,0.50679261,514.4375418779796,100.64,0.0068,0.501,,,,,
64,0.49802594,504.1157224969208,100.322,0.006778513513513514,0.501,,,,,
65,0.48988697,496.5097219849981,98.05,0.006625,0.501,,,,,
66,0.47776568,494.87851051411644,84.97,0.005741216216216216,0.501,,,,,
67,0.4626873,479.85137605496925,81.697,0.005520067567567568,0.501,,,,,
68,0.45149359,472.65993795772675,75.303,0.0050880405405405406,0.501,,,,,
69,0.44608852,472.3849820631876,69.018,0.004663378378378378,0.501,,,,,
70,0.43928861,469.823154683184,63.327,0.004278851351351351,0.501,,,,,
71,0.41938403,452.55461983177094,56.438,0.0038133783783783786,0.501,,,,,
