,T,V,V_c,I,P,V_gen,Distancia,Mediciones p/s,Fecha,Periodo
0,0.18551995,225.15945736810082,1.1345e-05,7.665540540540541e-10,0.51,2.77,4.5,0.3,Fri Oct 25 10:42:42 2024,20.0
1,0.22947993,278.51223927841454,1.3011e-05,8.791216216216216e-10,0.51,,,,,
2,0.25986435,315.3888114727445,1.3198e-05,8.917567567567567e-10,0.51,,,,,
3,0.29032776,352.3612503921373,1.4228e-05,9.613513513513513e-10,0.51,,,,,
4,0.32003722,388.4186456088912,1.4614e-05,9.874324324324324e-10,0.51,,,,,
5,0.35050356,425.39464082302925,1.5394e-05,1.040135135135135e-09,0.51,,,,,
6,0.38117569,462.6203970356646,1.5738e-05,1.0633783783783785e-09,0.51,,,,,
7,0.41109795,498.936060862627,1.5883e-05,1.0731756756756757e-09,0.51,,,,,
8,0.44197189,536.4067469515085,1.6518e-05,1.116081081081081e-09,0.51,,,,,
9,0.38798651,440.0841762622588,30.802305,0.0020812368243243243,0.51,,,,,
10,0.36481624,419.8463937405421,22.919092,0.0015485872972972972,0.51,,,,,
11,0.35186218,413.54460067837374,13.498968,0.0009120924324324324,0.51,,,,,
12,0.35445839,430.1945065780752,-3.112e-06,-2.1027027027027028e-10,0.51,,,,,
13,0.29323341,355.88776213928196,-5.569e-06,-3.762837837837838e-10,0.51,,,,,
14,0.26274606,318.8862680383531,-6.609e-06,-4.4655405405405403e-10,0.51,,,,,
15,0.23263478,282.3411969939744,-6.901e-06,-4.662837837837838e-10,0.51,,,,,
16,0.20184321,244.9704809801178,-7.848e-06,-5.302702702702702e-10,0.51,,,,,
17,0.17170566,208.39352637874703,-7.619e-06,-5.147972972972974e-10,0.51,,,,,
18,0.1414582,171.68317807908062,-7.848e-06,-5.302702702702702e-10,0.51,,,,,
19,0.11104595,134.77282978900686,-8.296e-06,-5.605405405405405e-10,0.51,,,,,
20,0.069459145,84.30029120592086,-8.754e-06,-5.914864864864864e-10,0.512,,,,,
21,0.034926287,42.38889442825118,-7.276e-06,-4.916216216216216e-10,0.51,,,,,
22,0.015796809,19.172066501002888,1.634e-06,1.104054054054054e-10,0.51,,,,,
23,0.024221414,29.396733609897726,8.53e-07,5.7635135135135137e-11,0.51,,,,,
24,0.062445407,75.78792882088003,1.0232e-05,6.913513513513513e-10,0.51,,,,,
25,0.085788651,104.11885271794759,1.4718e-05,9.944594594594596e-10,0.51,,,,,
26,0.13505915,163.91683603023924,1.7434e-05,1.177972972972973e-09,0.51,,,,,
27,0.1616418,196.17932333827827,1.9152e-05,1.2940540540540539e-09,0.51,,,,,
28,0.1920032,233.02795586384894,2.039e-05,1.3777027027027026e-09,0.51,,,,,
29,0.22212851,269.59005384632167,2.1494e-05,1.4522972972972974e-09,0.51,,,,,
30,0.25237997,306.30525635658216,2.2181e-05,1.4987162162162162e-09,0.51,,,,,
31,0.28302643,343.49985735951464,2.2899e-05,1.5472297297297296e-09,0.51,,,,,
32,0.31307578,379.9697644053846,2.4783e-05,1.674527027027027e-09,0.51,,,,,
33,0.34403025,417.53818798473765,2.4543e-05,1.6583108108108106e-09,0.51,,,,,
34,0.37390794,453.7997578328897,2.5522e-05,1.7244594594594595e-09,0.51,,,,,
35,0.40426884,490.64778475288614,2.5532e-05,1.725135135135135e-09,0.51,,,,,
36,0.43445505,527.2837954397047,2.6261e-05,1.774391891891892e-09,0.51,,,,,
37,0.38659228,436.223506113755,32.970844,0.0022277597297297295,0.51,,,,,
38,0.36738024,419.5169003093892,26.360428,0.00178111,0.51,,,,,
39,0.35427563,412.19172365800864,17.78097,0.0012014168918918918,0.51,,,,,
40,0.37650173,456.94778133909176,-2.71e-07,-1.831081081081081e-11,0.51,,,,,
41,0.30005689,364.16919417597654,-4.091e-06,-2.7641891891891895e-10,0.51,,,,,
42,0.26992288,327.5965372363115,-5.142e-06,-3.474324324324324e-10,0.51,,,,,
43,0.23931281,290.4461020179143,-6.297e-06,-4.2547297297297297e-10,0.51,,,,,
44,0.20877429,253.38250412199494,-6.89e-06,-4.6554054054054056e-10,0.51,,,,,
45,0.17906727,217.32807021108349,-7.234e-06,-4.887837837837838e-10,0.51,,,,,
46,0.14803015,179.65933742790386,-7.38e-06,-4.986486486486486e-10,0.512,,,,,
47,0.11820562,143.46228550036793,-7.734e-06,-5.225675675675676e-10,0.51,,,,,
48,0.076623699,92.99567558063535,-9.305e-06,-6.287162162162162e-10,0.51,,,,,
49,0.042588078,51.687759108902426,-7.921e-06,-5.352027027027026e-10,0.51,,,,,
50,0.01628559,19.765286295531624,-7.18e-07,-4.851351351351352e-11,0.51,,,,,
51,0.024054429,29.194068828099383,1.426e-06,9.635135135135136e-11,0.51,,,,,
52,0.040948175,49.697441925016264,1.2865e-05,8.692567567567567e-10,0.51,,,,,
53,0.078579382,95.3692001946863,1.4291e-05,9.65608108108108e-10,0.51,,,,,
54,0.10908802,132.39653070587312,1.5467e-05,1.0450675675675676e-09,0.512,,,,,
55,0.15151484,183.88856890873691,1.4915e-05,1.0077702702702704e-09,0.51,,,,,
56,0.18430978,223.69070616495662,1.8975e-05,1.2820945945945946e-09,0.51,,,,,
57,0.21516757,261.1417918943892,1.9245e-05,1.3003378378378377e-09,0.512,,,,,
58,0.2451054,297.4763514038543,2.0505e-05,1.3854729729729731e-09,0.51,,,,,
59,0.2758833,334.8304767647903,2.1275e-05,1.4374999999999998e-09,0.51,,,,,
60,0.30615975,371.5760091290929,2.165e-05,1.462837837837838e-09,0.51,,,,,
61,0.33588731,407.65537136823525,2.2389e-05,1.5127702702702702e-09,0.51,,,,,
62,0.36681207,445.18773628260533,2.2763e-05,1.5380405405405405e-09,0.51,,,,,
63,0.39676278,481.5379286889436,2.3159e-05,1.5647972972972973e-09,0.51,,,,,
64,0.4280514,519.5118991659801,2.2899e-05,1.5472297297297296e-09,0.51,,,,,
