,T,V,V_c,I,P,V_gen,Distancia,Mediciones p/s,Fecha,Periodo,pendiente_rampa
0,0.19027912,230.93600099640045,-0.000484,-3.2702702702702705e-08,0.277,1.5,3.0,0.3,Fri Oct 25 12:41:46 2024,1000.0,90.0
1,0.25005563,303.48567243755326,-0.001369,-9.25e-08,0.277,,,,,,
2,0.30804672,362.6959842783665,11.1702,0.0007547432432432432,0.277,,,,,,
3,0.39067792,446.6639571625009,27.489,0.0018573648648648649,0.277,,,,,,
4,0.44996622,503.5902191650668,42.519,0.0028729054054054052,0.277,,,,,,
5,0.51328566,557.8379433567835,65.12,0.0044,0.277,,,,,,
6,0.53509421,573.7742640489953,75.652,0.005111621621621622,0.277,,,,,,
7,0.50011125,547.9455947384351,59.023,0.003988040540540541,0.277,,,,,,
8,0.44238518,495.708359965327,41.2,0.002783783783783784,0.277,,,,,,
9,0.38712104,449.46008875521505,20.376,0.001376756756756757,0.277,,,,,,
10,0.33485583,401.346420366863,5.0571,0.00034169594594594596,0.277,,,,,,
11,0.25611627,310.83831010465843,0.001593,1.0763513513513513e-07,0.277,,,,,,
12,0.15842064,192.27063941809902,-0.000713,-4.8175675675675674e-08,0.277,,,,,,
13,0.08996116,109.18379953621974,-0.000895,-6.047297297297297e-08,0.277,,,,,,
14,0.050968,61.8588792265992,-0.000692,-4.675675675675676e-08,0.277,,,,,,
15,0.09955776,120.83070069386339,-0.000718,-4.851351351351351e-08,0.277,,,,,,
16,0.20961878,254.4081560022624,-0.000729,-4.925675675675676e-08,0.277,,,,,,
17,0.28823978,349.82788088733645,-0.000729,-4.925675675675676e-08,0.277,,,,,,
18,0.34975288,411.674580561966,12.809,0.000865472972972973,0.277,,,,,,
19,0.41809379,476.8576979300434,30.569,0.002065472972972973,0.277,,,,,,
20,0.47162832,519.8697983033754,52.53,0.0035493243243243243,0.277,,,,,,
21,0.51357858,550.5744507379328,72.739,0.004914797297297297,0.277,,,,,,
22,0.52852445,572.8617621632275,68.591,0.004634527027027027,0.277,,,,,,
23,0.47572919,529.3658895027936,48.011,0.003243986486486487,0.277,,,,,,
24,0.42144144,479.872630759841,31.617,0.0021362837837837836,0.277,,,,,,
25,0.37234952,437.29638019726775,14.612,0.0009872972972972973,0.277,,,,,,
26,0.30416902,366.4585471764872,2.7014,0.00018252702702702703,0.277,,,,,,
27,0.21317566,258.72282240954826,0.001473,9.952702702702702e-08,0.277,,,,,,
28,0.12795003,155.28924206523672,-0.000494,-3.3378378378378377e-08,0.277,,,,,,
29,0.07247666,87.96341027763643,-0.000869,-5.8716216216216215e-08,0.277,,,,,,
30,0.04108545,49.86489894783159,-0.000838,-5.662162162162162e-08,0.277,,,,,,
31,0.15779295,191.50885868563424,-0.000739,-4.993243243243243e-08,0.277,,,,,,
32,0.23156683,281.045777261695,-0.000723,-4.885135135135135e-08,0.277,,,,,,
33,0.32922061,399.56488997808816,-0.000651,-4.398648648648649e-08,0.277,,,,,,
34,0.38322242,446.02046173658835,19.084,0.0012894594594594594,0.277,,,,,,
35,0.43900964,492.91957795875675,39.892,0.0026954054054054055,0.277,,,,,,
36,0.48847816,523.1488955694688,69.701,0.004709527027027026,0.277,,,,,,
37,0.53201856,570.5154486835995,75.178,0.005079594594594595,0.277,,,,,,
38,0.51032159,552.6095489718215,66.751,0.004510202702702703,0.277,,,,,,
39,0.45603384,509.48029022886885,43.993,0.0029725000000000003,0.277,,,,,,
40,0.40820427,474.06811239125045,21.356,0.001442972972972973,0.277,,,,,,
41,0.3458961,409.3907333768341,10.412,0.0007035135135135135,0.277,,,,,,
42,0.28542914,346.4159604529744,1e-05,6.756756756756757e-10,0.273,,,,,,
43,0.18156128,220.35577298220454,-0.000812,-5.486486486486487e-08,0.273,,,,,,
44,0.10328203,125.35094384514275,-0.000937,-6.331081081081082e-08,0.273,,,,,,
45,0.05857693,71.09388460311168,-0.000989,-6.682432432432432e-08,0.273,,,,,,
46,0.03635689,44.12625101594869,-0.001088,-7.351351351351351e-08,0.273,,,,,,
47,0.17584935,213.42379218646548,-0.001213,-8.195945945945947e-08,0.272,,,,,,
48,0.27410292,332.67090132187934,-0.001192,-8.054054054054054e-08,0.273,,,,,,
49,0.33150817,393.2235754003939,9.117,0.0006160135135135136,0.273,,,,,,
50,0.40432657,462.96787528937114,27.75,0.001875,0.273,,,,,,
51,0.45046837,498.7646621237044,47.954,0.003240135135135135,0.274,,,,,,
52,0.51228136,556.0880574395085,65.651,0.004435878378378378,0.276,,,,,,
53,0.53072134,568.2430553851754,75.876,0.005126756756756757,0.277,,,,,,
54,0.49930921,548.9791851386232,57.016,0.003852432432432432,0.277,,,,,,
55,0.4462838,503.76498698395375,37.875,0.0025591216216216215,0.275,,,,,,
56,0.38408025,446.52558182661727,19.62,0.0013256756756756757,0.273,,,,,,
57,0.3161299,383.67421030007233,0.002264,1.5297297297297296e-07,0.273,,,,,,
58,0.23449602,284.6015469365161,-0.001431,-9.668918918918919e-08,0.272,,,,,,
59,0.14654345,177.8563920981749,-0.001421,-9.601351351351351e-08,0.272,,,,,,
60,0.08299386,100.72818641222264,-0.001265,-8.547297297297297e-08,0.272,,,,,,
61,0.0470345,57.08561749783159,-0.00139,-9.391891891891892e-08,0.273,,,,,,
62,0.12398167,150.47358289967116,-0.001103,-7.452702702702703e-08,0.273,,,,,,
