,T,V,V_c,I,P,V_gen,Distancia,Mediciones p/s,Fecha,Periodo
0,0.46732519,473.3692307864944,93.808,0.0063383783783783785,0.522,2.77,4.5,0.3,Fri Oct 25 11:00:29 2024,20.0
1,0.48204788,486.24567597757857,98.8,0.006675675675675676,0.52,,,,,
2,0.49013804,490.37843739598117,104.486,0.007059864864864865,0.52,,,,,
3,0.50069709,499.5716095007336,108.108,0.007304594594594595,0.52,,,,,
4,0.49313698,495.5451523544127,102.959,0.00695668918918919,0.52,,,,,
5,0.47991375,486.67755250587277,95.778,0.006471486486486487,0.52,,,,,
6,0.46717873,477.4024770959197,89.597,0.006053851351351351,0.52,,,,,
7,0.45841207,472.8286698515324,83.531,0.005643986486486487,0.52,,,,,
8,0.44743456,466.91562659180346,76.121,0.005143310810810811,0.52,,,,,
9,0.44182724,465.7432065164727,70.488,0.004762702702702703,0.52,,,,,
10,0.42401495,450.90001530327066,63.713,0.004304932432432433,0.522,,,,,
11,0.41494142,443.618770021012,59.982,0.004052837837837837,0.52,,,,,
12,0.40379653,437.925583153961,52.149,0.003523581081081081,0.52,,,,,
13,0.3972965,436.48771027846044,45.698,0.0030877027027027028,0.52,,,,,
14,0.38162531,423.44110179698947,39.725,0.0026841216216216216,0.522,,,,,
15,0.36766979,413.2157456322479,33.013,0.0022306081081081078,0.522,,,,,
16,0.36260646,412.0785483490496,28.005,0.0018922297297297296,0.522,,,,,
17,0.35181029,406.4115914900362,20.569,0.0013897972972972971,0.522,,,,,
18,0.33709457,394.0336055589772,15.087,0.0010193918918918919,0.522,,,,,
19,0.34723516,421.42964450875314,-0.001738,-1.1743243243243243e-07,0.522,,,,,
20,0.32257413,391.4986705486845,-0.001046,-7.067567567567568e-08,0.522,,,,,
21,0.29607189,359.3333454980592,-0.000619,-4.1824324324324325e-08,0.522,,,,,
22,0.27448651,333.13574390338636,-0.000484,-3.2702702702702705e-08,0.522,,,,,
23,0.25517474,309.69760507429714,-0.000406,-2.7432432432432434e-08,0.522,,,,,
24,0.23080663,280.1227154953777,-0.000291,-1.9662162162162164e-08,0.522,,,,,
25,0.20694764,251.16542713512106,0.000125,8.445945945945947e-09,0.522,,,,,
26,0.18470668,224.17147163121072,0.000958,6.472972972972973e-08,0.52,,,,,
27,0.16422323,199.3115012775244,0.000838,5.662162162162162e-08,0.516,,,,,
28,0.13924138,168.9914606228623,0.001228,8.297297297297297e-08,0.512,,,,,
29,0.11565439,140.36440872700757,0.001525,1.0304054054054055e-07,0.512,,,,,
30,0.0951291,115.45340353982651,0.00166,1.1216216216216217e-07,0.51,,,,,
31,0.07276958,88.31623765878568,0.001811,1.2236486486486485e-07,0.51,,,,,
32,0.04987303,60.52754110896639,0.001717,1.1601351351351352e-07,0.51,,,,,
33,0.02943144,35.71823886211782,0.001733,1.1709459459459459e-07,0.51,,,,,
34,0.02445878,29.682933779277192,0.001884,1.272972972972973e-07,0.51,,,,,
35,0.02457037,29.818444896382363,0.001806,1.2202702702702702e-07,0.51,,,,,
36,0.02134128,25.899415443715213,0.001795,1.2128378378378378e-07,0.51,,,,,
37,0.07597077,92.20140679800869,0.001821,1.2304054054054053e-07,0.51,,,,,
38,0.08693433,105.50799240101554,0.001348,9.108108108108109e-08,0.512,,,,,
39,0.11068173,134.32962464416698,0.001155,7.804054054054054e-08,0.512,,,,,
40,0.13455467,163.3039006611456,0.000682,4.608108108108108e-08,0.51,,,,,
41,0.15714435,190.72040917309357,0.000526,3.554054054054054e-08,0.512,,,,,
42,0.17691641,214.71720285398266,0.000432,2.9189189189189188e-08,0.51,,,,,
43,0.20091489,243.8434686447886,0.000333,2.25e-08,0.512,,,,,
44,0.22515747,273.2663965865523,-0.000172,-1.1621621621621623e-08,0.51,,,,,
45,0.24741935,300.28560100721,-0.000864,-5.8378378378378375e-08,0.51,,,,,
46,0.26800741,325.27260108130463,-0.000812,-5.486486486486487e-08,0.51,,,,,
47,0.29268936,355.2287979581207,-0.001337,-9.033783783783784e-08,0.512,,,,,
48,0.31616477,383.7203608735417,-0.001566,-1.0581081081081081e-07,0.51,,,,,
49,0.33639714,408.2757396795735,-0.001582,-1.068918918918919e-07,0.51,,,,,
50,0.35891707,435.6076319079111,-0.001775,-1.1993243243243245e-07,0.512,,,,,
51,0.38310385,464.96218622278644,-0.001629,-1.1006756756756756e-07,0.51,,,,,
52,0.40750684,494.5792365118468,-0.001572,-1.0621621621621622e-07,0.51,,,,,
53,0.42745326,518.7877951967546,-0.001816,-1.227027027027027e-07,0.51,,,,,
54,0.45071247,547.016729274662,-0.001811,-1.2236486486486485e-07,0.51,,,,,
55,0.3629203,403.51144564694613,36.953,0.0024968243243243247,0.51,,,,,
56,0.40435447,440.99973660281535,49.752,0.0033616216216216218,0.51,,,,,
57,0.40995481,437.6296852814492,59.919,0.004048581081081081,0.51,,,,,
58,0.4220761,450.54289675233105,61.717,0.004170067567567567,0.51,,,,,
59,0.43648495,460.9794446455186,68.768,0.0046464864864864865,0.51,,,,,
60,0.44573284,465.7463049317961,75.225,0.00508277027027027,0.51,,,,,
61,0.46098557,477.2860422582905,82.197,0.005553851351351352,0.51,,,,,
62,0.47216534,485.43956183548244,87.612,0.005919729729729729,0.51,,,,,
63,0.48489339,493.7691779854101,94.73,0.006400675675675676,0.512,,,,,
64,0.4944063,506.48668433939287,93.558,0.006321486486486487,0.51,,,,,
65,0.50193851,502.55828017226963,106.628,0.007204594594594595,0.51,,,,,
66,0.50136662,503.12019606669315,105.372,0.00711972972972973,0.51,,,,,
67,0.49041004,497.222554860383,97.972,0.006619729729729729,0.512,,,,,
