,T,V,V_c,I,P,V_gen,Distancia,Mediciones p/s,Fecha,Periodo,pendiente_rampa
0,-0.00034174,-0.4134526113408023,-0.001306,-8.824324324324325e-08,0.383,1.7,3.5,0.3,Fri Oct 25 13:02:48 2024,30.0,50.0
1,2.79e-05,0.03312231344416335,0.000739,4.993243243243243e-08,0.383,,,,,,
2,0.01308374,15.879024417990603,0.000281,1.8986486486486486e-08,0.383,,,,,,
3,0.06548843,79.48069810022044,0.000458,3.0945945945945945e-08,0.383,,,,,,
4,0.07712152,93.59941826918686,0.000437,2.9527027027027027e-08,0.383,,,,,,
5,0.09239518,112.13676564910011,0.000229,1.5472972972972972e-08,0.382,,,,,,
6,0.10836627,131.52018590841706,0.000396,2.6756756756756756e-08,0.382,,,,,,
7,0.12210559,148.1952002356451,0.000343,2.3175675675675675e-08,0.383,,,,,,
8,0.13898334,168.679648951854,-0.000135,-9.121621621621622e-09,0.382,,,,,,
9,0.15510088,188.2405777650741,0.000265,1.7905405405405404e-08,0.382,,,,,,
10,0.16913312,205.2711034734514,0.000208,1.4054054054054053e-08,0.382,,,,,,
11,0.18308865,222.20948077486446,-0.000801,-5.412162162162162e-08,0.382,,,,,,
12,0.20064987,243.5219835770835,0.000172,1.1621621621621623e-08,0.382,,,,,,
13,0.21655819,262.82977994948686,-0.000219,-1.4797297297297299e-08,0.382,,,,,,
14,0.23091822,280.25858061248283,-0.000723,-4.885135135135135e-08,0.383,,,,,,
15,0.24497138,297.3144652376075,-0.000749,-5.0608108108108106e-08,0.383,,,,,,
16,0.26296501,319.15277985152517,-0.000786,-5.310810810810811e-08,0.382,,,,,,
17,0.27841302,337.90141809878565,-0.000682,-4.608108108108108e-08,0.382,,,,,,
18,0.29171994,354.05156875098663,-0.000661,-4.4662162162162167e-08,0.382,,,,,,
19,0.30716098,372.7919247382219,-0.000734,-4.9594594594594595e-08,0.383,,,,,,
20,0.32354355,392.6753387558186,-0.001161,-7.844594594594595e-08,0.383,,,,,,
21,0.34017022,412.85456092437306,-0.00114,-7.702702702702702e-08,0.383,,,,,,
22,0.35297499,428.3953046179364,-0.001155,-7.804054054054054e-08,0.383,,,,,,
23,0.36956679,448.53233121302134,-0.001259,-8.506756756756756e-08,0.382,,,,,,
24,0.38742093,470.20132539638956,-0.00127,-8.581081081081081e-08,0.382,,,,,,
25,0.35508819,410.36887103622337,20.59,0.0013912162162162162,0.382,,,,,,
26,0.36851367,422.5459350655547,24.707,0.001669391891891892,0.382,,,,,,
27,0.37764997,431.1283622347271,27.213,0.0018387162162162164,0.382,,,,,,
28,0.39701056,450.852674294008,30.986,0.0020936486486486487,0.382,,,,,,
29,0.39584585,446.0981040294362,34.327,0.0023193918918918916,0.382,,,,,,
30,0.40576327,454.3885508816733,38.073,0.0025725,0.383,,,,,,
31,0.41284216,459.0759671227756,41.977,0.0028362837837837837,0.383,,,,,,
32,0.42407772,469.61219719018436,45.077,0.0030457432432432433,0.383,,,,,,
33,0.43679182,481.2068826833899,48.913,0.0033049324324324323,0.383,,,,,,
34,0.4391561,481.1113316493315,51.878,0.00350527027027027,0.382,,,,,,
35,0.44749733,493.485808478717,49.627,0.003353175675675676,0.382,,,,,,
36,0.46023933,497.1523552853669,61.425,0.004150337837837838,0.383,,,,,,
37,0.46192013,495.5182870286267,65.099,0.0043985810810810815,0.383,,,,,,
38,0.46950116,501.45713409169485,68.361,0.004618986486486487,0.383,,,,,,
39,0.48546528,516.4962620909866,72.697,0.00491195945945946,0.382,,,,,,
40,0.4859186,513.1744416827611,76.569,0.005173581081081081,0.382,,,,,,
41,0.4977121,523.5378251990242,80.519,0.005440472972972973,0.382,,,,,,
42,0.50051576,529.8225352366895,77.637,0.005245743243243243,0.382,,,,,,
43,0.51044015,534.7384413489519,84.766,0.005727432432432433,0.382,,,,,,
44,0.52021808,540.4085937706398,90.963,0.006146148648648648,0.382,,,,,,
45,0.52311938,538.0628062686881,96.83,0.006542567567567568,0.382,,,,,,
46,0.53636353,550.3317960339756,100.635,0.006799662162162163,0.383,,,,,,
47,0.54411892,556.0292581010625,104.35,0.007050675675675675,0.382,,,,,,
48,0.54647623,557.0402478069786,106.2,0.007175675675675676,0.382,,,,,,
49,0.55944838,563.2311201078641,115.753,0.007821148648648649,0.383,,,,,,
50,0.56732233,571.5164745520817,117.024,0.007907027027027027,0.382,,,,,,
51,0.57227407,581.4402387181749,113.11,0.007642567567567568,0.382,,,,,,
52,0.57189746,584.2631595333646,109.83,0.007420945945945946,0.382,,,,,,
53,0.56023647,565.1005990509542,114.84,0.00775945945945946,0.382,,,,,,
54,0.55640759,564.8836131792663,110.41,0.0074601351351351345,0.382,,,,,,
55,0.54866615,560.1150817689013,105.783,0.0071475,0.382,,,,,,
56,0.54147567,557.4012324106939,99.77,0.006741216216216216,0.382,,,,,,
57,0.53143272,547.214433921301,97.768,0.006605945945945946,0.382,,,,,,
58,0.52778517,547.3265223136574,93.229,0.006299256756756757,0.382,,,,,,
59,0.51864887,542.7720951444851,86.695,0.00585777027027027,0.382,,,,,,
60,0.50591385,528.760019734532,85.251,0.005760202702702703,0.382,,,,,,
61,0.49957423,529.1488312063282,77.168,0.005214054054054055,0.382,,,,,,
62,0.49042399,518.0014855171053,77.21,0.0052168918918918915,0.382,,,,,,
63,0.48347761,514.4228923098555,72.358,0.004889054054054054,0.382,,,,,,
64,0.47902105,519.8481118423745,61.524,0.004157027027027027,0.382,,,,,,
65,0.46597218,501.65012699785325,63.885,0.004316554054054054,0.382,,,,,,
66,0.45873986,498.0314978061511,58.726,0.003967972972972973,0.382,,,,,,
67,0.45767279,498.13343000196244,57.329,0.003873581081081081,0.382,,,,,,
68,0.44587232,488.136587225674,53.004,0.003581351351351351,0.382,,,,,,
69,0.43293504,475.81203549825807,49.627,0.003353175675675676,0.382,,,,,,
70,0.42612815,471.4387367215575,45.739,0.003090472972972973,0.382,,,,,,
71,0.42442643,473.62041506155043,41.492,0.0028035135135135135,0.382,,,,,,
72,0.41575741,466.4711102775461,38.12,0.0025756756756756755,0.382,,,,,,
73,0.39886571,448.87220890461504,35.218,0.002379594594594595,0.382,,,,,,
74,0.39724768,451.2344590482689,30.892,0.002087297297297297,0.382,,,,,,
75,0.38200889,435.98064024182503,27.651,0.0018683108108108108,0.382,,,,,,
76,0.37412099,428.94035514088546,25.118,0.001697162162162162,0.383,,,,,,
77,0.36574489,422.4845577380304,21.408,0.0014464864864864866,0.383,,,,,,
78,0.35659464,415.3291999121359,17.458,0.0011795945945945944,0.382,,,,,,
79,0.34722819,406.87444724872785,14.545,0.0009827702702702704,0.383,,,,,,
80,0.3338585,393.2020937096133,11.991,0.0008102027027027027,0.382,,,,,,
81,0.32395504,383.9433896507698,9.2302,0.0006236621621621621,0.383,,,,,,
82,0.33095023,401.6622089515395,0.001213,8.195945945945947e-08,0.382,,,,,,
83,0.31126186,377.76757107431155,0.000723,4.885135135135135e-08,0.382,,,,,,
84,0.29398658,356.80124025654493,0.000614,4.1486486486486486e-08,0.382,,,,,,
85,0.2815654,341.72637914448865,0.000297,2.0067567567567568e-08,0.382,,,,,,
86,0.2651619,321.81790707347307,0.00038,2.5675675675675677e-08,0.382,,,,,,
87,0.24900948,302.214302550112,0.000323,2.1824324324324324e-08,0.382,,,,,,
88,0.23360331,283.5167051363462,-4.2e-05,-2.8378378378378377e-09,0.382,,,,,,
89,0.21932,266.1813280169859,0.000151,1.0202702702702703e-08,0.382,,,,,,
90,0.20249108,245.75669366764004,7.8e-05,5.2702702702702705e-09,0.382,,,,,,
91,0.18646419,226.30633578143477,-0.000874,-5.9054054054054054e-08,0.382,,,,,,
92,0.17163689,208.31077786994217,-0.000723,-4.885135135135135e-08,0.382,,,,,,
93,0.15862987,192.52457499558727,-0.000713,-4.8175675675675674e-08,0.382,,,,,,
94,0.14080362,170.89004498899166,-0.001317,-8.89864864864865e-08,0.382,,,,,,
95,0.12469305,151.3370604357969,-0.001202,-8.121621621621622e-08,0.382,,,,,,
96,0.11009589,133.62107088186846,-0.001306,-8.824324324324325e-08,0.382,,,,,,
97,0.09563822,116.07429775848934,-0.001332,-9e-08,0.382,,,,,,
98,0.07862797,95.42956314509938,-0.001379,-9.317567567567568e-08,0.383,,,,,,
99,0.06384948,77.49346832712686,-0.001452,-9.81081081081081e-08,0.383,,,,,,
