,T,V,V_c,I,P,V_gen,Distancia,Mediciones p/s,Fecha,Periodo,pendiente_rampa
0,0.06092726,73.94524691233103,0.000167,1.1283783783783783e-08,0.121,1.8,5.5,0.3,Fri Oct 25 13:46:43 2024,30.0,50.0
1,0.06302652,76.4914998105674,0.001717,1.1601351351351352e-07,0.121,,,,,,
2,0.07956949,96.56910703878931,0.001769,1.1952702702702702e-07,0.12,,,,,,
3,0.0951291,115.45327353982651,0.00179,1.2094594594594595e-07,0.12,,,,,,
4,0.10910555,132.41598475798696,0.001837,1.2412162162162163e-07,0.12,,,,,,
5,0.12735722,154.56764504291291,0.001629,1.1006756756756756e-07,0.119,,,,,,
6,0.14423496,175.0517496224503,0.001483,1.002027027027027e-07,0.119,,,,,,
7,0.16114758,195.5778999121287,0.001624,1.0972972972972974e-07,0.118,,,,,,
8,0.17601673,213.62398979378753,0.001733,1.1709459459459459e-07,0.118,,,,,,
9,0.19332688,234.6326771850235,0.001806,1.2202702702702702e-07,0.118,,,,,,
10,0.20985591,254.6934288931948,0.001795,1.2128378378378378e-07,0.118,,,,,,
11,0.22446701,272.4264869671738,0.001749,1.1817567567567567e-07,0.118,,,,,,
12,0.24002662,291.31068546821103,0.001738,1.1743243243243243e-07,0.116,,,,,,
13,0.25733677,312.31944085944707,0.001743,1.1777027027027027e-07,0.116,,,,,,
14,0.27585347,334.7925663487496,0.001728,1.1675675675675675e-07,0.116,,,,,,
15,0.29034601,352.3820400455981,0.001374,9.283783783783784e-08,0.115,,,,,,
16,0.30582192,371.16475260630284,0.001265,8.547297297297297e-08,0.115,,,,,,
17,0.32315299,392.1989139142862,0.001254,8.472972972972972e-08,0.115,,,,,,
18,0.34087462,413.707329063802,0.000999,6.75e-08,0.114,,,,,,
19,0.35322606,428.69763202891943,0.001233,8.331081081081081e-08,0.114,,,,,,
20,0.37184738,451.29824637530174,0.000703,4.7499999999999995e-08,0.115,,,,,,
21,0.36499864,438.26195862843514,4.7249,0.00031925,0.115,,,,,,
22,0.39394885,472.8169774486628,5.3058,0.0003585,0.114,,,,,,
23,0.40701864,487.76985220993134,6.2153,0.0004199527027027027,0.114,,,,,,
24,0.42612118,510.2608774615324,6.9084,0.0004667837837837838,0.114,,,,,,
25,0.43767058,524.7693048268378,6.4171,0.0004335878378378378,0.114,,,,,,
26,0.45318834,540.2504003577087,9.7694,0.0006600945945945945,0.114,,,,,,
27,0.46466102,552.5536151793783,11.3902,0.0007696081081081082,0.114,,,,,,
28,0.47647544,566.6237886123889,11.6588,0.0007877567567567567,0.114,,,,,,
29,0.49106562,582.5872107696205,13.403,0.0009056081081081081,0.113,,,,,,
30,0.50412843,596.8671141341922,14.977,0.0010119594594594594,0.114,,,,,,
31,0.52023203,617.7145244273618,13.674,0.0009239189189189188,0.114,,,,,,
32,0.53394346,632.5626365778171,15.467,0.0010450675675675676,0.114,,,,,,
33,0.54750842,645.2319829010263,19.261,0.001301418918918919,0.113,,,,,,
34,0.56558574,667.6988323186049,18.734,0.0012658108108108109,0.113,,,,,,
35,0.56615763,667.2829164241814,19.844,0.0013408108108108109,0.113,,,,,,
36,0.59453595,696.6587511388327,24.91,0.0016831081081081082,0.112,,,,,,
37,0.60492762,706.9257796362631,27.255,0.001841554054054054,0.112,,,,,,
38,0.61112077,714.9012023372208,26.796,0.0018105405405405405,0.112,,,,,,
39,0.62593413,733.4526907286627,26.223,0.0017718243243243243,0.113,,,,,,
40,0.64290254,750.3416925085581,29.928,0.0020221621621621623,0.114,,,,,,
41,0.65207371,760.8624402511999,30.538,0.0020633783783783784,0.114,,,,,,
42,0.6394712,729.0161878750994,47.089,0.003181689189189189,0.114,,,,,,
43,0.64434622,731.9568394975569,50.065,0.00338277027027027,0.114,,,,,,
44,0.66008715,747.7110891259667,53.415,0.0036091216216216217,0.114,,,,,,
45,0.66917463,754.9512650649475,57.204,0.0038651351351351353,0.114,,,,,,
46,0.67532594,755.1109079324107,64.51,0.004358783783783784,0.114,,,,,,
47,0.67680449,757.7863754948789,63.629,0.004299256756756757,0.114,,,,,,
48,0.69408674,763.8462745726707,78.544,0.005307027027027027,0.114,,,,,,
49,0.70249074,780.98193328897,71.608,0.004838378378378379,0.114,,,,,,
50,0.7012005,771.4950113872426,79.529,0.005373581081081081,0.114,,,,,,
51,0.69379382,776.1437671915215,65.891,0.004452094594594595,0.114,,,,,,
52,0.67716018,759.8380647629418,62.009,0.004189797297297297,0.114,,,,,,
53,0.674768,744.2817544835561,74.662,0.00504472972972973,0.114,,,,,,
54,0.66140529,747.0178723411385,55.708,0.003764054054054054,0.114,,,,,,
55,0.65558875,737.227528824991,58.439,0.003948581081081081,0.113,,,,,,
56,0.65143208,745.1687149986844,45.453,0.003071148648648649,0.113,,,,,,
57,0.63728128,731.0903539131767,42.357,0.0028619594594594595,0.112,,,,,,
58,0.62949799,724.4210305326453,39.58,0.0026743243243243244,0.112,,,,,,
59,0.62352801,718.5984619292266,38.157,0.0025781756756756754,0.112,,,,,,
60,0.61701404,716.4616705336755,32.388,0.002188378378378378,0.111,,,,,,
61,0.61085575,715.7625562695157,25.613,0.001730608108108108,0.111,,,,,,
62,0.5983718,704.7011962705458,21.523,0.0014542567567567568,0.111,,,,,,
63,0.58190554,682.882637449288,23.357,0.0015781756756756756,0.111,,,,,,
64,0.57398974,675.2354910349043,21.397,0.0014457432432432432,0.11,,,,,,
65,0.56129656,662.373195458446,18.854,0.0012739189189189188,0.109,,,,,,
66,0.54079219,638.2217151880124,18.12,0.0012243243243243245,0.109,,,,,,
67,0.53747941,637.0881029316841,15.233,0.0010292567567567567,0.109,,,,,,
68,0.5188581,615.8800307219732,13.841,0.0009352027027027027,0.109,,,,,,
69,0.50722501,604.3353315530069,11.267,0.0007612837837837837,0.109,,,,,,
70,0.49200017,585.2794434032851,11.845,0.0008003378378378379,0.107,,,,,,
71,0.48328233,575.9648873890893,10.579,0.0007147972972972973,0.107,,,,,,
72,0.46367764,553.2265191788507,9.5238,0.0006435,0.107,,,,,,
73,0.45328598,541.9486028180918,8.1897,0.0005533581081081081,0.107,,,,,,
74,0.43461584,520.3124672415178,7.1665,0.000484222972972973,0.107,,,,,,
75,0.42241784,506.74305536367183,5.9316,0.0004007837837837838,0.107,,,,,,
76,0.40696285,488.80044171971446,5.117,0.00034574324324324323,0.107,,,,,,
77,0.39558083,476.0377579617311,4.0657,0.00027470945945945945,0.106,,,,,,
78,0.38592844,464.89406931387055,3.4946,0.00023612162162162163,0.106,,,,,,
79,0.36566119,441.56677379769786,2.2242,0.0001502837837837838,0.106,,,,,,
80,0.34856725,421.3591203806469,1.6855,0.00011388513513513514,0.106,,,,,,
81,0.33134777,401.3081331897687,0.83777,5.6606081081081085e-05,0.106,,,,,,
82,0.31958217,387.8666619869498,-0.000281,-1.8986486486486486e-08,0.105,,,,,,
83,0.30333211,368.14260400320563,0.001613,1.0898648648648649e-07,0.105,,,,,,
84,0.2839785,344.6538563406217,0.00152,1.0270270270270271e-07,0.106,,,,,,
85,0.26788885,325.12630370417423,0.001593,1.0763513513513513e-07,0.105,,,,,,
86,0.25467957,309.0945935123563,0.001634,1.104054054054054e-07,0.105,,,,,,
87,0.23697189,287.60333801956267,0.00166,1.1216216216216217e-07,0.105,,,,,,
88,0.21971753,266.66223111854356,0.001717,1.1601351351351352e-07,0.106,,,,,,
89,0.20244226,245.6960324374485,0.001488,1.0054054054054053e-07,0.104,,,,,,
90,0.18795669,228.11539200062523,0.001468,9.918918918918919e-08,0.104,,,,,,
91,0.17075115,207.2336713297976,0.00139,9.391891891891892e-08,0.104,,,,,,
92,0.15327362,186.0215913312396,0.001566,1.0581081081081081e-07,0.105,,,,,,
93,0.13821617,167.7468379255114,0.001587,1.0722972972972973e-07,0.105,,,,,,
94,0.12317266,149.48895103983378,0.00166,1.1216216216216217e-07,0.106,,,,,,
95,0.10391669,126.11861783763284,0.001655,1.1182432432432433e-07,0.106,,,,,,
96,0.08871277,107.66617160465846,0.001603,1.0831081081081081e-07,0.106,,,,,,
97,0.07273471,88.27409408531622,0.001634,1.104054054054054e-07,0.106,,,,,,
98,0.05580117,67.7227198788905,0.001327,8.966216216216216e-08,0.106,,,,,,
99,0.03962783,48.09351743878208,0.001478,9.986486486486485e-08,0.106,,,,,,
