,T,V,V_c,I,P,V_gen,Distancia,Mediciones p/s,Fecha,Periodo,pendiente_rampa
0,0.0716258,86.93151444763282,-0.001634,-1.104054054054054e-07,0.109,1.8,4.0,0.3,Fri Oct 25 13:51:10 2024,30.0,50.0
1,0.07243481,87.91268630747018,-0.000937,-6.331081081081082e-08,0.109,,,,,,
2,0.08899174,108.00725132908565,-0.0009,-6.081081081081081e-08,0.109,,,,,,
3,0.10629491,129.0075253236249,-0.000885,-5.97972972972973e-08,0.109,,,,,,
4,0.12285184,149.10210134524033,-0.000859,-5.8040540540540536e-08,0.108,,,,,,
5,0.13941574,169.2052296268811,-0.000926,-6.256756756756757e-08,0.107,,,,,,
6,0.15309229,185.8041290671955,-0.001046,-7.067567567567568e-08,0.107,,,,,,
7,0.1724738,209.32671104322372,-0.000926,-6.256756756756757e-08,0.107,,,,,,
8,0.18926088,229.7014455590748,-0.001733,-1.1709459459459459e-07,0.107,,,,,,
9,0.20356511,247.0617955951825,-0.001509,-1.0195945945945946e-07,0.107,,,,,,
10,0.21922236,266.0645535566028,-0.001577,-1.0655405405405406e-07,0.107,,,,,,
11,0.23812962,289.01188688743764,-0.00179,-1.2094594594594595e-07,0.107,,,,,,
12,0.25480511,309.2503142861836,-0.001723,-1.1641891891891891e-07,0.107,,,,,,
13,0.26786792,325.1042066507553,-0.001712,-1.1567567567567568e-07,0.107,,,,,,
14,0.28574299,346.79882088754243,-0.001941,-1.3114864864864864e-07,0.107,,,,,,
15,0.30278114,367.4772558143766,-0.001733,-1.1709459459459459e-07,0.107,,,,,,
16,0.3192474,387.4618766356343,-0.001795,-1.2128378378378378e-07,0.107,,,,,,
17,0.33278447,403.8911717820708,-0.001593,-1.0763513513513513e-07,0.107,,,,,,
18,0.33931239,408.9331008343441,2.8792,0.00019454054054054054,0.107,,,,,,
19,0.36191601,436.2667718663426,2.9788,0.00020127027027027028,0.107,,,,,,
20,0.37992359,457.6030801369823,3.4977,0.00023633108108108108,0.107,,,,,,
21,0.38885066,467.6182717286664,4.317,0.0002916891891891892,0.107,,,,,,
22,0.41026865,492.8109825793459,5.1186,0.0003458513513513513,0.107,,,,,,
23,0.42158092,505.2397130537189,6.4192,0.0004337297297297297,0.107,,,,,,
24,0.44057187,527.4717051882146,7.2359,0.0004889121621621622,0.107,,,,,,
25,0.44864111,535.7208766898699,8.7801,0.0005932499999999999,0.107,,,,,,
26,0.46403333,553.1597084469137,10.0223,0.0006771824324324324,0.107,,,,,,
27,0.478763,571.5727250346946,9.4862,0.0006409594594594595,0.107,,,,,,
28,0.48914072,581.9436228754029,11.7104,0.0007912432432432432,0.107,,,,,,
29,0.50573949,600.9434047305131,12.856,0.0008686486486486487,0.107,,,,,,
30,0.51743535,612.9542857863931,15.04,0.001016216216216216,0.107,,,,,,
31,0.54079219,625.1267151880123,31.215,0.0021091216216216216,0.107,,,,,,
32,0.54192203,638.5299648791147,19.183,0.0012961486486486487,0.107,,,,,,
33,0.56336792,665.1991370432382,18.542,0.0012528378378378379,0.107,,,,,,
34,0.57341785,674.3274069293277,21.611,0.0014602027027027027,0.107,,,,,,
35,0.58671779,691.053107184832,21.027,0.0014207432432432434,0.107,,,,,,
36,0.60254242,706.9809407535744,24.305,0.0016422297297297298,0.107,,,,,,
37,0.62017338,712.9060577027321,39.778,0.0026877027027027026,0.107,,,,,,
38,0.62481825,732.7653838309541,25.556,0.0017267567567567567,0.107,,,,,,
39,0.6413403,751.5876531424286,26.786,0.001809864864864865,0.107,,,,,,
40,0.65392887,764.4479869984785,29.204,0.001973243243243243,0.106,,,,,,
41,0.67102979,782.6438118122262,31.763,0.0021461486486486487,0.106,,,,,,
42,0.68306041,793.8109800827502,35.197,0.0023781756756756757,0.107,,,,,,
43,0.6954537,808.2423090180339,35.807,0.002419391891891892,0.107,,,,,,
44,0.706487,818.4910627679798,38.949,0.002631689189189189,0.107,,,,,,
45,0.71929177,834.3447914615432,38.636,0.002610540540540541,0.107,,,,,,
46,0.73204074,846.5707975282181,41.883,0.0028299324324324326,0.107,,,,,,
47,0.74652631,864.9594579650416,41.075,0.002775337837837838,0.107,,,,,,
48,0.76041906,879.3186322428696,43.577,0.0029443918918918917,0.107,,,,,,
49,0.76279031,883.3435404688362,42.43,0.002866891891891892,0.107,,,,,,
50,0.75216152,872.220727217145,40.653,0.002746824324324324,0.107,,,,,,
51,0.72979502,844.0222409394072,41.706,0.002817972972972973,0.107,,,,,,
52,0.72379017,838.9963517625189,39.444,0.002665135135135135,0.106,,,,,,
53,0.70727509,823.4025417110697,34.994,0.0023644594594594594,0.106,,,,,,
54,0.69799931,796.5738322480197,50.565,0.003416554054054054,0.106,,,,,,
55,0.68432276,797.0420528077051,33.498,0.002263378378378378,0.105,,,,,,
56,0.67288495,785.7403585595049,30.918,0.002089054054054054,0.106,,,,,,
57,0.66382536,775.2400317972969,30.423,0.002055608108108108,0.106,,,,,,
58,0.64712895,759.1241474818036,26.275,0.0017753378378378378,0.106,,,,,,
59,0.63410101,746.3145646907011,23.273,0.0015725,0.106,,,,,,
60,0.61718839,726.1262734010228,22.935,0.001549662162162162,0.105,,,,,,
61,0.60840778,715.8245354999132,22.58,0.0015256756756756756,0.104,,,,,,
62,0.59533102,700.7607014786195,21.773,0.0014711486486486487,0.104,,,,,,
