,T,V,V_c,I,P,V_gen,Distancia,Mediciones p/s,Fecha,Periodo,pendiente_rampa
0,0.00011159,0.13543311710516803,0.0,0.0,0.228,1.7,3.5,0.3,Fri Oct 25 13:08:55 2024,30.0,50.0
1,-0.00037661,-0.4557471848102638,-0.001332,-9e-08,0.227,,,,,,
2,-0.00036266,-0.43882152808818214,-0.001327,-8.966216216216216e-08,0.227,,,,,,
3,-0.00032779,-0.39656295461872065,-0.001265,-8.547297297297297e-08,0.226,,,,,,
4,-0.00032082,-0.3880936945934224,-0.001275,-8.614864864864865e-08,0.225,,,,,,
5,-0.00032082,-0.38811469459342246,-0.001254,-8.472972972972972e-08,0.224,,,,,,
6,-0.00029989,-0.36293064117455726,-0.001036,-7e-08,0.224,,,,,,
7,-0.000272,-0.3292324644018793,-0.000885,-5.97972972972973e-08,0.225,,,,,,
8,0.15247856,185.05912512812435,-0.000906,-6.121621621621621e-08,0.224,,,,,,
9,0.17606555,213.685630023979,-0.000656,-4.432432432432433e-08,0.223,,,,,,
10,0.19355703,234.9143756792591,-0.000567,-3.831081081081081e-08,0.224,,,,,,
11,0.20855869,253.1211735947705,-0.000343,-2.3175675675675675e-08,0.223,,,,,,
12,0.22203997,269.4829662509903,-0.000349,-2.358108108108108e-08,0.224,,,,,,
13,0.23827608,289.18812657801226,-0.000276,-1.8648648648648647e-08,0.224,,,,,,
14,0.2563255,311.09407768214675,-0.000239,-1.614864864864865e-08,0.224,,,,,,
15,0.27026707,328.01443119016625,-0.000167,-1.1283783783783783e-08,0.224,,,,,,
16,0.28407614,344.77398780100464,-0.000109,-7.364864864864865e-09,0.224,,,,,,
17,0.30087716,365.1646418369064,8.3e-05,5.608108108108108e-09,0.223,,,,,,
18,0.31708538,384.8356409871557,0.000468,3.162162162162162e-08,0.221,,,,,,
19,0.33175227,402.63613455135163,0.000697,4.70945945945946e-08,0.22,,,,,,
20,0.34680276,420.9024088337261,0.000708,4.7837837837837834e-08,0.22,,,,,,
21,0.34580544,411.5707023131478,8.122,0.0005487837837837838,0.219,,,,,,
22,0.35902866,427.6964900250163,8.0448,0.0005435675675675676,0.219,,,,,,
23,0.36861131,438.0534375259379,9.318,0.0006295945945945946,0.22,,,,,,
24,0.38199494,449.033709585103,14.581,0.0009852027027027026,0.219,,,,,,
25,0.39373962,460.75984187117456,17.109,0.0011560135135135136,0.22,,,,,,
26,0.40260392,469.35115157594504,19.276,0.0013024324324324324,0.219,,,,,,
27,0.41351866,483.35801294876035,18.516,0.001251081081081081,0.219,,,,,,
28,0.42312224,489.17756250310083,24.352,0.0016454054054054054,0.219,,,,,,
29,0.43768452,505.2143233468885,25.989,0.0017560135135135135,0.219,,,,,,
30,0.45380905,521.9761356934766,28.797,0.0019457432432432433,0.219,,,,,,
31,0.45299306,516.7487954369426,33.034,0.002232027027027027,0.219,,,,,,
32,0.47080535,536.0999866501446,35.301,0.0023852027027027028,0.219,,,,,,
33,0.48325443,547.8890260756451,38.621,0.0026095270270270273,0.22,,,,,,
34,0.49383441,561.2146002338164,38.136,0.002576756756756757,0.22,,,,,,
35,0.49553613,558.5329218938236,42.883,0.0028975000000000003,0.219,,,,,,
36,0.50391223,570.6887192966785,40.893,0.0027630405405405407,0.219,,,,,,
37,0.51214187,570.9627630089592,50.607,0.003419391891891892,0.219,,,,,,
38,0.52911028,588.4247647888544,53.739,0.003631013513513513,0.219,,,,,,
39,0.53528252,599.6788097097361,49.976,0.0033767567567567565,0.219,,,,,,
40,0.5472434,607.3943368333213,56.777,0.0038362837837837838,0.219,,,,,,
41,0.55647036,604.29879506618,71.071,0.004802094594594595,0.22,,,,,,
42,0.56287972,617.8256247413227,65.323,0.004413716216216216,0.219,,,,,,
43,0.57488942,630.0614030950993,67.663,0.004571824324324324,0.22,,,,,,
44,0.58379557,636.1025047700361,72.431,0.004893986486486486,0.219,,,,,,
45,0.59559604,654.8903475463245,67.965,0.00459222972972973,0.218,,,,,,
46,0.6058552,661.5465530099024,73.76,0.004983783783783784,0.216,,,,,,
47,0.61455909,666.5081783673762,79.362,0.005362297297297297,0.216,,,,,,
48,0.62582952,678.0287290082545,81.52,0.005508108108108108,0.216,,,,,,
49,0.62998619,677.9975428345608,86.596,0.005851081081081081,0.215,,,,,,
50,0.63205755,686.0564844193531,81.051,0.005476418918918919,0.214,,,,,,
51,0.62672223,682.7451818084243,77.887,0.005262635135135135,0.215,,,,,,
52,0.62008969,670.4534858990712,82.129,0.005549256756756757,0.214,,,,,,
53,0.60985146,662.5766824889122,77.58,0.005241891891891892,0.214,,,,,,
54,0.59868564,653.1310935684423,73.474,0.00496445945945946,0.214,,,,,,
55,0.58696886,640.458822595815,71.926,0.004859864864864865,0.215,,,,,,
56,0.58062925,640.0036462042825,64.687,0.004370743243243243,0.215,,,,,,
57,0.56995861,626.8180409824251,64.922,0.004386621621621622,0.216,,,,,,
58,0.56569035,624.9937940390134,61.566,0.004159864864864865,0.215,,,,,,
59,0.54812913,606.2283182367944,59.018,0.0039877027027027025,0.215,,,,,,
60,0.54400733,605.8118249839573,54.432,0.003677837837837838,0.215,,,,,,
61,0.52950084,590.1187746303866,52.519,0.003548581081081081,0.215,,,,,,
62,0.52301477,588.9538445482797,45.812,0.0030954054054054053,0.216,,,,,,
63,0.50887791,573.1094019828226,44.499,0.0030066891891891894,0.216,,,,,,
64,0.50004151,566.292953591496,40.591,0.002742635135135135,0.215,,,,,,
65,0.49369492,558.2153058032671,40.966,0.002767972972972973,0.215,,,,,,
66,0.48697172,553.6255788302276,37.396,0.002526756756756757,0.215,,,,,,
67,0.47517125,545.0727360539391,31.627,0.0021369594594594595,0.214,,,,,,
68,0.4623874,529.7913972771232,31.393,0.002121148648648649,0.212,,,,,,
69,0.45219799,523.0998450971558,25.718,0.0017377027027027027,0.211,,,,,,
70,0.43875856,505.94485041110227,26.562,0.0017947297297297299,0.211,,,,,,
71,0.42835295,486.54690339362133,33.331,0.002252094594594595,0.211,,,,,,
72,0.41971182,488.3264477863896,21.064,0.0014232432432432433,0.211,,,,,,
73,0.40800899,477.16110747048424,18.026,0.001217972972972973,0.211,,,,,,
