,T,V,V_c,I,P,V_gen,Distancia,Mediciones p/s,Fecha,Periodo,pendiente_rampa
0,0.23907114,290.15309078112756,-0.000302,-2.0405405405405407e-08,0.357,1.7,1.5,0.3,Fri Oct 25 13:24:00 2024,30.0,50.0
1,0.25648591,311.28934002944345,-0.000817,-5.52027027027027e-08,0.357,,,,,,
2,0.27235238,330.5458854316805,-0.000749,-5.0608108108108106e-08,0.357,,,,,,
3,0.28717271,348.53279208314785,-0.000708,-4.7837837837837834e-08,0.357,,,,,,
4,0.30010999,364.2343068105638,-0.000671,-4.533783783783784e-08,0.357,,,,,,
5,0.3180548,386.01351019428984,-0.000848,-5.72972972972973e-08,0.357,,,,,,
6,0.31048074,367.7924743912468,9.0278,0.0006099864864864865,0.357,,,,,,
7,0.32515461,382.66866835213955,11.9608,0.0008081621621621622,0.357,,,,,,
8,0.33393522,390.413206253249,14.873,0.0010049324324324324,0.357,,,,,,
9,0.34489878,401.0403188562559,17.552,0.001185945945945946,0.357,,,,,,
10,0.35360267,408.28494421372966,20.871,0.0014102027027027026,0.357,,,,,,
11,0.36265528,415.2327995792411,24.91,0.0016831081081081082,0.357,,,,,,
12,0.37798474,431.10666158604266,27.641,0.001867635135135135,0.357,,,,,,
13,0.3822251,432.4440472160101,31.45,0.002125,0.357,,,,,,
14,0.39174498,440.19401283001804,35.254,0.002382027027027027,0.357,,,,,,
15,0.40374771,454.0163319237694,35.999,0.002432364864864865,0.357,,,,,,
16,0.40768817,458.81873877589084,35.979,0.0024310135135135135,0.357,,,,,,
17,0.42195056,466.9205329785038,45.187,0.0030531756756756756,0.357,,,,,,
18,0.42746721,469.07690985347665,49.726,0.003359864864864865,0.357,,,,,,
19,0.43151927,472.57776195937475,51.143,0.003455608108108108,0.357,,,,,,
20,0.44046726,477.71064346780634,56.87,0.0038425675675675675,0.357,,,,,,
21,0.44932459,486.6044939125515,58.726,0.003967972972972973,0.357,,,,,,
22,0.46397056,498.16782656,64.938,0.004387702702702703,0.357,,,,,,
23,0.4647726,495.64523615981204,68.434,0.004623918918918919,0.357,,,,,,
24,0.47812834,508.25865904220456,72.03,0.004866891891891892,0.357,,,,,,
25,0.48699962,518.7494401436718,72.306,0.00488554054054054,0.357,,,,,,
26,0.48967774,513.72378640751,80.582,0.0054447297297297295,0.356,,,,,,
27,0.5018339,527.2373184518613,81.822,0.0055285135135135135,0.356,,,,,,
28,0.50961719,537.5016418323925,81.004,0.005473243243243243,0.355,,,,,,
29,0.51205121,529.9397319452728,91.52,0.0061837837837837835,0.353,,,,,,
30,0.52256144,537.5886528198339,96.627,0.006528851351351351,0.353,,,,,,
31,0.53176748,540.8507211359449,104.538,0.0070633783783783785,0.356,,,,,,
32,0.53473155,544.7611155209073,104.225,0.0070422297297297294,0.357,,,,,,
33,0.54534639,550.8589981158763,111.01,0.007500675675675676,0.357,,,,,,
34,0.55377829,560.1335181456199,111.969,0.007565472972972972,0.357,,,,,,
35,0.56450473,568.9518459943657,116.169,0.007849256756756757,0.357,,,,,,
36,0.57247632,580.8957028989664,113.9,0.007695945945945947,0.357,,,,,,
37,0.5714511,574.011427064944,119.54,0.008077027027027027,0.357,,,,,,
38,0.56379335,568.15746745824,116.1,0.007844594594594594,0.357,,,,,,
39,0.55441992,560.8012433981351,112.08,0.007572972972972973,0.357,,,,,,
40,0.55220908,562.5080195194652,107.69,0.007276351351351351,0.357,,,,,,
41,0.53740967,550.8564617847452,101.38,0.006849999999999999,0.357,,,,,,
42,0.53236727,547.0456665549656,99.071,0.006693986486486486,0.357,,,,,,
43,0.52805717,545.4886397780591,95.397,0.0064457432432432436,0.357,,,,,,
44,0.51654962,535.6703043829202,91.249,0.006165472972972973,0.357,,,,,,
45,0.51464564,543.69850640545,80.91,0.005466891891891892,0.357,,,,,,
46,0.49962305,522.8710824365196,83.505,0.005642229729729729,0.354,,,,,,
47,0.490961,516.8452369125407,79.018,0.005339054054054054,0.353,,,,,,
48,0.48525605,520.6143265134984,68.325,0.004616554054054054,0.351,,,,,,
49,0.47858864,510.42231003067576,70.425,0.004758445945945946,0.353,,,,,,
50,0.46922219,501.78555736726776,67.694,0.004573918918918919,0.351,,,,,,
51,0.45878868,493.46374903634256,63.353,0.004280608108108108,0.351,,,,,,
52,0.45177256,490.1955146821539,58.106,0.003926081081081082,0.351,,,,,,
53,0.44866203,493.6333666066173,50.893,0.0034387162162162165,0.351,,,,,,
54,0.43767058,478.7504048268378,52.436,0.003542972972972973,0.351,,,,,,
55,0.42552836,468.318791302537,48.131,0.0032520945945945946,0.351,,,,,,
56,0.42603749,475.76370565787147,41.304,0.0027908108108108108,0.351,,,,,,
57,0.40975256,456.65522110065774,40.648,0.0027464864864864868,0.351,,,,,,
58,0.40199019,450.7992876368739,37.083,0.002505608108108108,0.351,,,,,,
59,0.392282,442.2887763621251,33.811,0.002284527027027027,0.351,,,,,,
60,0.38591449,437.8287386571485,30.543,0.002063716216216216,0.351,,,,,,
61,0.37668055,429.62280902759306,27.542,0.001860945945945946,0.351,,,,,,
62,0.36713277,421.63098210014095,23.946,0.001617972972972973,0.351,,,,,,
63,0.35750129,414.41857123235644,19.469,0.001315472972972973,0.351,,,,,,
64,0.34869279,405.7339841544741,17.463,0.0011799324324324326,0.351,,,,,,
65,0.3384964,397.3039605778099,13.518,0.0009133783783783784,0.351,,,,,,
66,0.32527317,383.49136072926996,11.282,0.0007622972972972973,0.351,,,,,,
67,0.31636702,375.8991590543332,8.0651,0.0005449391891891891,0.351,,,,,,
68,0.30752365,367.26275140298156,5.9686,0.0004032837837837838,0.351,,,,,,
69,0.3252104,394.69827184235635,-0.001093,-7.385135135135135e-08,0.351,,,,,,
70,0.28596616,347.06817098508134,-0.000437,-2.9527027027027027e-08,0.351,,,,,,
71,0.27283361,331.12958547357067,-0.000396,-2.6756756756756756e-08,0.351,,,,,,
72,0.2563255,311.0943386821467,-0.0005,-3.3783783783783786e-08,0.351,,,,,,
73,0.23853413,289.50154738569216,-0.00051,-3.4459459459459465e-08,0.351,,,,,,
74,0.22483665,272.87734989195883,-0.000494,-3.3378378378378377e-08,0.351,,,,,,
75,0.20967458,254.47585262915072,-0.000703,-4.7499999999999995e-08,0.351,,,,,,
76,0.19331293,234.6182865283014,-0.000734,-4.9594594594594595e-08,0.351,,,,,,
77,0.17770451,215.67494293374415,-0.000817,-5.52027027027027e-08,0.351,,,,,,
78,0.16401401,199.05934783670762,-0.000932,-6.297297297297298e-08,0.351,,,,,,
79,0.14703165,178.44835240009036,-0.000869,-5.8716216216216215e-08,0.351,,,,,,
80,0.13100477,158.99704965055656,-0.000864,-5.8378378378378375e-08,0.351,,,,,,
81,0.11623325,141.0693570926093,-0.00088,-5.9459459459459464e-08,0.351,,,,,,
82,0.10125251,122.88775109384532,-0.000906,-6.121621621621621e-08,0.351,,,,,,
83,0.08533024,103.56335206471991,-0.000843,-5.695945945945946e-08,0.351,,,,,,
84,0.06958233,84.45066803961329,-0.00088,-5.9459459459459464e-08,0.351,,,,,,
85,0.05525717,67.06486295008672,-0.001051,-7.101351351351352e-08,0.351,,,,,,
86,0.03953019,47.977554978398985,-0.001062,-7.175675675675676e-08,0.351,,,,,,
87,0.02394268,29.0597661639176,-0.001322,-8.932432432432433e-08,0.351,,,,,,
88,0.01519694,18.445311836277554,-0.001285,-8.682432432432432e-08,0.351,,,,,,
89,0.02269429,27.54459923235634,-0.001285,-8.682432432432432e-08,0.35,,,,,,
90,0.02395663,29.076675820639682,-0.001301,-8.79054054054054e-08,0.35,,,,,,
91,0.02221306,26.96054119046621,-0.00128,-8.648648648648649e-08,0.351,,,,,,
92,0.06075988,73.74356630500904,-0.001296,-8.756756756756757e-08,0.351,,,,,,
93,0.0665555,80.77753490440911,-0.001311,-8.858108108108108e-08,0.351,,,,,,
94,0.08329376,101.09218519006866,-0.001285,-8.682432432432432e-08,0.351,,,,,,
95,0.10040165,121.8554382638417,-0.001254,-8.472972972972972e-08,0.351,,,,,,
96,0.11500578,139.57993907779544,-0.001202,-8.121621621621622e-08,0.351,,,,,,
97,0.1284731,155.92482994062163,-0.001249,-8.439189189189189e-08,0.351,,,,,,
98,0.14440235,175.25750236644382,-0.001114,-7.527027027027027e-08,0.351,,,,,,
99,0.1621449,196.79102043270692,-0.001082,-7.310810810810812e-08,0.35,,,,,,
