,T,V,V_c,I,P,Mediciones p/s,Fecha,Periodo
0,0.47018485,570.6479013654778,4.819e-06,3.256081081081081e-10,0.372,0.3,Fri Sep 27 13:44:41 2024,50.0
1,0.47019939,570.6655588068174,-5.902e-06,-3.9878378378378383e-10,0.373,,,
2,0.47021079,570.6793894073107,-6.97e-07,-4.709459459459459e-11,0.373,,,
3,0.70561869,856.3862227592342,6.87e-07,4.6418918918918925e-11,0.373,,,
4,0.70560226,856.3662856319838,-2.737e-06,-1.8493243243243243e-10,0.373,,,
5,0.75264244,913.457404438219,-4.16e-07,-2.810810810810811e-11,0.373,,,
6,0.75264558,913.4612084730653,6.464e-06,4.367567567567568e-10,0.373,,,
7,0.77139317,936.2145489302933,1.04e-07,7.027027027027027e-12,0.373,,,
8,0.77139369,936.2151793192107,8.22e-07,5.5540540540540543e-11,0.373,,,
9,0.78094864,947.8117090101177,5.2e-08,3.5135135135135136e-12,0.373,,,
10,0.78094979,848.4521447793386,99.36096,0.0067135783783783785,0.373,,,
11,0.60194313,631.1483331681279,99.410269,0.006716910067567567,0.373,,,
12,0.58170929,616.8521692713878,89.149286,0.006023600405405406,0.373,,,
13,0.58362676,619.1610896186917,89.167536,0.006024833513513513,0.373,,,
14,0.43467045,508.7946886044994,18.750557,0.001266929527027027,0.374,,,
15,0.16258186,197.32027541993133,-1.299e-05,-8.777027027027026e-10,0.373,,,
16,0.023779902,28.860893107813155,-7.255e-06,-4.902027027027027e-10,0.373,,,
17,0.59231559,621.9566051489086,96.917368,0.006548470810810811,0.373,,,
18,0.597313,628.1369664936755,96.802199,0.006540689121621621,0.373,,,
19,0.59740401,628.2832753408637,96.766346,0.006538266621621621,0.373,,,
20,0.43374043,507.6752828830178,18.741228,0.001266299189189189,0.373,,,
21,0.43443852,527.2637598867394,-1.04e-07,-7.027027027027027e-12,0.373,,,
22,0.057755206,70.09560846114782,-1.2282e-05,-8.298648648648649e-10,0.373,,,
23,0.66393183,805.7922165906015,3.4348e-05,2.3208108108108108e-09,0.373,,,
24,0.78085689,947.7003457542396,9.347e-06,6.315540540540541e-10,0.373,,,
25,0.78086296,947.7077181888313,3.872e-06,2.616216216216216e-10,0.373,,,
26,0.7808774,947.7252442294562,3.185e-06,2.152027027027027e-10,0.373,,,
27,0.78089633,947.7482191775779,2.956e-06,1.9972972972972975e-10,0.373,,,
28,0.78379069,951.2610107096154,1.072e-06,7.243243243243243e-11,0.373,,,
29,0.78380795,951.2819588645992,8.12e-07,5.486486486486487e-11,0.373,,,
