,T,V,V_c,I,P,Mediciones p/s,Fecha,Periodo
0,-0.48968606,-605.4293221181858,11.113438,0.000750907972972973,0.189,0.3,Fri Sep 27 13:23:20 2024,50.0
1,-0.49168126,-609.8052868129455,13.067894,0.0008829658108108108,0.217,,,
2,-0.49193882,-612.1389169237224,15.088932,0.0010195224324324324,0.24,,,
3,-0.49329689,-615.5843778681351,16.886148,0.0011409559459459458,0.261,,,
4,-0.49426865,-618.4152790563967,18.537656,0.0012525443243243243,0.282,,,
5,-0.49626427,-622.5558234913589,20.256182,0.001368660945945946,0.309,,,
6,-0.49816112,-626.67216502206,22.070379,0.0014912418243243242,0.335,,,
7,-0.49920172,-629.718113056827,23.853385,0.0016117152027027026,0.361,,,
8,-0.50120235,-633.9625229642031,25.669696,0.0017344389189189189,0.383,,,
9,-0.50228804,-637.1565452506976,27.546052,0.0018612197297297297,0.404,,,
10,-0.50550499,-642.4890147841814,28.974215,0.00195771722972973,0.427,,,
11,-0.50779007,-647.5957753119588,31.307649,0.002115381689189189,0.454,,,
12,-0.50940541,-651.3015324036754,33.052921,0.002233305472972973,0.478,,,
13,-0.51051065,-654.0986368829236,34.508632,0.002331664324324324,0.505,,,
14,-0.51095056,-656.1354491982365,36.01154,0.002433212162162162,0.525,,,
15,-0.51164258,-658.2088771383663,37.245086,0.002516559864864865,0.548,,,
16,-0.51283517,-661.3207214430395,38.909523,0.002629021824324324,0.573,,,
17,-0.51441168,-664.5443448393784,40.219788,0.0027175532432432434,0.595,,,
18,-0.51540959,-667.4105064235742,41.874819,0.0028293796621621623,0.616,,,
19,-0.5166457,-670.2552935225515,43.21938,0.0029202283783783785,0.633,,,
20,-0.5178882,-673.289024954608,44.74513,0.003023319594594595,0.648,,,
21,-0.51922444,-676.2656185451681,46.099973,0.0031148630405405404,0.671,,,
22,-0.52055376,-679.3614735590603,47.582476,0.003215032162162162,0.691,,,
23,-0.52179511,-682.5200572738959,49.234474,0.0033266536486486484,0.732,,,
24,-0.52340501,-686.0475970163244,50.808131,0.0034329818243243244,0.753,,,
25,-0.52444946,-688.8239636696134,52.316883,0.0035349245270270267,0.783,,,
26,-0.52580651,-691.9278966735345,53.773809,0.003633365472972973,0.807,,,
27,-0.52757835,-695.4905516739972,55.18604,0.0037287864864864865,0.83,,,
28,-0.5294295,-699.2678436160102,56.716652,0.0038322062162162163,0.851,,,
29,-0.50286464,-626.5934057285435,16.283112,0.0011002102702702703,0.378,,,
30,-0.50089311,-631.3858185351897,23.468306,0.0015856963513513512,0.434,,,
31,-0.5083781,-646.3911870053128,29.389388,0.0019857694594594593,0.493,,,
32,-0.51104481,-652.1209463269859,31.882649,0.0021542330405405407,0.522,,,
33,-0.49635183,-616.8748701868847,14.46896,0.0009776324324324323,0.335,,,
34,-0.50002608,-630.1701177073944,23.304891,0.0015746547972972974,0.433,,,
35,-0.51041859,-649.6674526852294,30.189178,0.0020398093243243244,0.495,,,
36,-0.49284486,-602.3858532069822,4.2362373,0.00028623225,0.221,,,
37,-0.71379291,-888.7710207251428,22.464015,0.0015178388513513513,0.166,,,
38,-0.70252081,-879.8259382601265,27.19951,0.0018378047297297297,0.193,,,
39,-0.69564624,-874.9133224908131,30.630334,0.0020696171621621623,0.213,,,
40,-0.59830916,-809.2665941603614,83.118422,0.005616109594594594,0.421,,,
41,-0.53998751,-771.327491506928,115.96239,0.00783529662162162,1.95,,,
42,-0.5232414,-756.4631179341525,121.42222,0.008204204054054054,1.99,,,
43,-0.57631468,-775.6070163352222,76.152822,0.005145460945945946,0.26,,,
44,-0.50061662,-615.9947325052909,8.4127868,0.0005684315405405405,0.143,,,
45,-0.49220692,-607.993044086245,10.617675,0.000717410472972973,0.169,,,
46,-0.48520639,-592.579739802902,3.700684,0.0002500462162162162,0.117,,,
47,-0.12153293,-147.5005065263643,-1.808e-05,-1.2216216216216216e-09,0.0761,,,
48,-0.012533875,-15.21194492036068,-7.411e-06,-5.007432432432433e-10,0.0806,,,
49,-0.001576413,-1.9132299186255874,-1.0752e-05,-7.264864864864865e-10,0.0933,,,
50,-0.000524713,-0.6368250255099386,-1.905e-06,-1.287162162162162e-10,0.102,,,
51,-0.000287384,-0.3487813378149621,-7.182e-06,-4.852702702702703e-10,1.26,,,
52,-0.000207532,-0.2518650386700398,-9.732e-06,-6.575675675675675e-10,8.18,,,
53,-0.000164742,-0.1999363323841706,-5.621e-06,-3.797972972972973e-10,24.0,,,
54,-0.000128548,-0.15600966561004698,-4.819e-06,-3.256081081081081e-10,72.7,,,
55,-0.000108969,-0.13225465550885437,2.56e-06,1.7297297297297299e-10,218.0,,,
56,-0.000109461,-0.13284648274593425,-2.737e-06,-1.8493243243243243e-10,1000.0,,,
57,-0.000117282,-0.14233762551463677,-3.685e-06,-2.4898648648648646e-10,1000.0,,,
58,-9.963e-05,-0.12086999700867367,-4.7661e-05,-3.220337837837838e-09,1000.0,,,
59,-7.2723e-05,-0.08825914304300687,-2.373e-06,-1.6033783783783782e-10,1000.0,,,
